# {"t_start": 1768293732.3819075, "env_id": "PctContinuous-v0"} 
r,l,t
2.860253,25,9.163562
2.779396,39,26.381911
3.674735,45,45.857854
2.373179,31,60.186169
4.061518,63,86.275307
3.377232,41,102.491224
1.363651,17,109.072508
2.309219,31,121.364956
3.870509,43,139.79147
2.010061,30,152.279806
2.176869,26,162.967104
0.840861,11,167.067819
1.630113,21,175.481128
3.566621,41,190.688234
1.172917,16,196.685526
3.201534,36,210.758073
1.682541,24,220.287167
4.492361,54,243.867991
3.978889,53,268.456885
1.190174,19,276.389607
3.333136,37,292.560798
2.296508,37,307.680793
4.07714,54,329.868757
3.63477,50,352.491223
1.642995,19,360.575685
0.602112,7,363.114128
3.384478,42,380.81645
3.271568,34,395.262722
1.890715,26,405.372124
2.30815,22,413.480445
2.377988,32,425.974444
1.802828,21,434.177877
3.20875,32,445.361137
4.493704,57,466.869789
2.715983,39,482.190113
2.783854,36,497.513649
2.236125,30,510.36913
2.333988,31,522.665604
3.622649,45,541.364991
3.225538,36,556.485076
3.299375,43,573.858205
1.528321,24,584.454558
1.869894,23,594.098422
2.510544,37,608.575274
3.545028,36,622.862008
1.595161,17,630.779027
3.568542,40,647.783216
1.268137,20,656.360553
3.966993,39,674.290345
4.105897,49,694.467879
2.617065,24,704.187952
3.826371,36,718.474425
2.779396,39,734.296094
3.201909,39,749.799788
0.627964,9,752.864223
3.189559,49,771.679169
3.865738,47,791.189107
3.504809,42,808.177026
2.588871,35,822.57968
3.088465,36,837.053741
2.159023,32,850.953725
3.412397,41,868.353266
3.056794,41,886.271348
3.415875,38,901.071661
1.3626,18,908.578126
1.516495,21,916.375444
3.164805,35,931.423386
2.364782,33,944.801007
1.36968,19,952.459777
3.906899,52,972.880272
3.827821,48,993.654445
3.67151,40,1010.882958
3.55526,52,1031.867152
3.284971,42,1049.61541
4.640079,62,1075.965256
3.711607,46,1095.180751
1.522695,14,1100.674214
2.848438,35,1114.983809
2.429307,24,1125.269297
2.648469,34,1138.661642
3.894964,41,1153.253837
4.46563,53,1173.24097
3.346332,39,1188.681888
4.482783,44,1205.979264
3.741704,47,1225.293134
4.14499,57,1248.959659
0.854432,13,1255.471182
0.406928,9,1259.082188
3.106493,40,1275.888958
2.511262,33,1289.491644
3.92116,45,1308.387215
1.552257,22,1316.682949
2.55558,41,1334.085551
3.768687,49,1353.55798
3.649623,58,1377.477867
3.545028,36,1392.179001
2.782389,28,1402.381532
2.308003,27,1414.575824
4.177973,59,1438.663599
3.421809,33,1452.578495
4.584777,54,1473.374591
4.058538,39,1489.179945
4.52676,44,1506.66941
3.519904,49,1526.974849
1.895544,22,1535.47079
2.124504,28,1546.972957
1.346423,20,1555.369568
2.431873,30,1567.254884
2.057207,26,1578.967049
3.098809,41,1595.975679
3.546811,40,1613.566352
3.461617,52,1635.589724
2.282481,27,1646.656244
3.056794,41,1663.075859
4.102481,45,1682.054615
3.035119,34,1694.961482
2.930679,38,1711.181347
3.033981,34,1725.469011
3.498595,49,1746.892094
3.673618,45,1766.792005
2.836687,37,1782.275769
2.373888,31,1795.274512
3.474724,38,1810.978674
1.761816,28,1822.093126
2.729568,33,1836.265743
2.944412,37,1851.073533
3.356811,41,1868.977427
2.187325,24,1878.477073
0.846829,10,1882.494829
3.238698,33,1895.497366
2.488569,32,1907.794739
1.5204,15,1913.548469
2.759857,36,1926.688965
4.102004,46,1944.573714
1.99806,22,1952.872917
4.252368,54,1974.46972
2.347192,34,1986.355344
1.229239,17,1993.455419
2.512585,36,2006.864556
3.106493,40,2023.37079
2.773112,36,2038.362552
4.152998,48,2058.153694
3.80512,49,2077.657748
2.315697,36,2092.085508
3.0666,39,2108.194008
3.194876,49,2128.886166
