# {"t_start": 1768293732.403066, "env_id": "PctContinuous-v0"} 
r,l,t
3.748629,35,12.646234
3.470896,48,35.342753
3.674735,45,54.351796
3.809628,51,75.859307
3.643484,57,99.81834
3.109701,38,114.457755
1.534334,20,122.031878
3.871679,51,144.15668
3.870509,43,161.656217
1.175575,19,169.138229
1.301004,15,175.133608
2.448691,31,186.362138
1.182546,18,193.422672
3.255735,36,207.274293
4.525065,57,230.234946
4.012867,44,250.252457
2.42081,34,266.679606
1.571463,21,275.133017
3.729294,49,296.974029
2.373888,31,309.17895
2.535471,29,320.357829
3.55526,52,342.489564
3.474456,46,363.162366
2.74453,35,377.856997
3.889399,50,398.340252
4.062984,45,416.075381
2.433682,32,428.468863
3.271568,34,440.341263
2.648469,34,453.736053
3.002522,28,463.933779
1.109736,17,470.642017
0.776037,11,474.655733
4.558996,45,493.123428
1.391741,16,499.861162
3.000767,44,518.047435
3.167055,42,536.098774
3.407917,46,554.541245
3.404375,43,572.144434
3.430817,44,590.740839
1.310316,14,596.759676
3.80512,49,616.54855
3.379864,52,638.645885
3.355809,45,657.987603
1.969368,27,670.671361
3.016484,30,682.468119
1.747964,18,690.285205
2.534675,29,702.158655
3.297569,46,720.37995
2.502122,25,730.960008
3.382735,37,745.779866
4.5512,47,763.562044
2.940769,26,773.461547
2.003156,29,785.670357
2.219541,27,796.657638
1.994373,26,807.069702
3.235086,50,827.59503
2.193427,28,838.761729
4.067238,49,860.149452
0.602454,9,863.861775
2.753222,33,877.950032
2.394142,35,892.274791
4.169287,49,911.955396
2.231662,27,923.156915
3.084193,34,937.343184
1.073476,14,942.603258
1.774512,25,952.76596
3.445966,39,968.45337
3.790392,52,990.682461
2.352257,31,1003.561849
3.906899,52,1025.299028
3.360359,43,1042.146863
2.193517,25,1053.561589
2.864944,42,1071.477556
3.127266,38,1087.132158
3.476929,47,1107.152528
3.889399,50,1127.333885
3.619768,41,1143.064175
3.629302,45,1159.441432
2.953733,29,1170.669543
2.648469,34,1183.858502
3.648495,37,1198.580373
3.588489,43,1215.328011
4.188382,47,1234.852032
2.069372,23,1244.047787
4.30342,55,1267.833801
2.061209,30,1280.466483
4.011985,57,1304.765605
1.361731,18,1311.45026
4.018852,51,1332.737256
3.430817,44,1349.987839
3.448403,39,1366.58243
3.953338,51,1386.838882
1.607661,25,1396.56722
2.690461,33,1410.607312
3.496736,55,1434.089061
4.305654,44,1451.841077
3.412681,38,1466.990664
1.848671,22,1475.168654
2.615861,38,1490.445625
3.966993,39,1505.694689
4.105897,49,1525.917053
3.784368,37,1541.07094
3.17572,28,1552.550633
1.810146,26,1563.232022
1.895544,22,1572.066583
2.373179,31,1585.358749
2.897898,45,1605.639815
2.431873,30,1618.0656
1.957381,24,1627.973501
3.757627,50,1648.444843
3.296476,38,1663.666825
3.461617,52,1685.198528
3.112214,38,1700.854983
4.173734,50,1722.004848
3.285665,37,1737.971152
4.457233,53,1760.952744
4.728371,59,1785.630155
3.5156,40,1802.274989
4.11909,56,1825.347659
3.193754,40,1842.251175
3.146903,40,1859.574664
3.72288,47,1878.450409
1.9222,23,1887.495038
1.761816,28,1898.46574
1.71245,20,1906.337144
2.404369,32,1918.159925
4.055935,52,1937.882685
3.396954,37,1951.944967
1.491098,19,1959.268121
2.134429,22,1967.853806
3.851921,50,1986.909758
4.746689,50,2005.948885
3.770388,44,2024.154238
4.448263,49,2044.61596
4.482783,44,2062.458719
3.803864,48,2082.024949
1.748506,26,2091.755044
1.345297,18,2099.054955
2.236125,30,2111.862312
3.106493,40,2128.768371
2.612675,34,2142.355902
4.152998,48,2160.854136
3.747662,48,2181.393623
0.589079,10,2185.133749
2.222326,27,2195.471711
2.733646,41,2210.054773
3.751039,39,2225.762961
3.741035,44,2242.865502
2.534675,29,2254.237504
4.746142,69,2281.384513
4.309922,42,2297.53748
4.719449,56,2319.752211
3.433708,32,2332.277106
4.52676,44,2347.453534
3.470896,48,2365.45051
3.674735,45,2381.626053
3.674477,50,2402.143425
1.676571,25,2412.642878
3.109701,38,2428.163185
2.203388,28,2437.940952
2.184528,29,2449.042359
3.546811,40,2464.918298
2.394142,35,2479.742891
1.573613,20,2487.531842
0.887978,12,2491.747771
0.687232,9,2494.85906
2.012479,26,2505.951318
2.930679,38,2521.341228
1.839673,20,2529.450283
4.544511,62,2555.763819
2.352257,31,2568.746102
2.76215,36,2583.691365
3.212451,41,2600.259881
3.242596,36,2614.356474
2.244792,36,2628.667094
4.168164,55,2648.838035
3.63477,50,2668.768358
4.416133,58,2690.779612
1.634408,16,2696.965988
1.737545,24,2704.759035
2.429307,24,2714.642781
2.328121,31,2726.75429
2.537282,24,2736.385364
3.86292,45,2753.737495
2.830966,34,2767.652431
1.99806,22,2775.880971
4.493704,57,2798.679536
3.767306,53,2819.468793
4.11553,59,2842.067142
3.302183,44,2859.646362
0.54491,8,2862.455226
2.899375,38,2877.962675
2.202726,25,2887.918058
1.552257,22,2896.289951
3.990449,59,2919.345904
1.783622,22,2927.935009
4.157497,65,2951.539561
4.389432,45,2969.252972
4.368092,52,2988.548095
3.147861,36,3003.037658
4.177973,59,3026.376687
4.623502,45,3044.061872
3.664824,42,3060.657865
4.855927,49,3079.015152
5.049335,50,3097.958553
3.33361,46,3116.549794
2.219541,27,3126.772804
1.206052,15,3132.560047
1.210718,18,3139.334862
4.170854,50,3159.05764
3.178192,38,3173.958222
2.65291,36,3186.754158
1.2332,17,3193.772236
1.304737,21,3201.3665
1.963388,25,3211.265829
5.041791,61,3236.83632
5.494463,60,3262.542503
2.781557,32,3274.83768
3.859614,51,3295.860125
1.839673,20,3303.238646
1.060918,13,3308.047091
3.950125,48,3327.247986
4.692457,61,3351.760107
3.360359,43,3368.372009
3.242596,36,3382.249805
4.330731,61,3405.764649
4.678266,63,3430.561832
4.170761,56,3452.351847
4.416133,58,3476.07876
0.877722,8,3478.742285
3.75709,47,3497.24841
3.238698,33,3509.788513
1.757175,25,3518.533866
3.46328,35,3532.269904
0.942646,15,3537.763356
3.346332,39,3552.355942
3.20875,32,3564.738594
3.679173,46,3583.86865
2.315605,33,3597.498071
3.167055,42,3613.981586
2.297999,31,3626.457411
4.369992,54,3646.667122
1.739491,22,3655.656093
1.809078,22,3665.165392
1.382949,21,3672.748506
2.728553,44,3690.634459
1.499065,19,3698.846077
3.948516,62,3724.565482
4.151721,43,3742.547862
3.366407,37,3757.06337
1.745486,20,3765.060692
2.348511,34,3778.050343
3.752172,37,3793.251813
3.20449,34,3807.065527
4.180229,41,3823.0388
3.455003,31,3834.946598
4.894501,70,3863.13956
2.508625,31,3875.649195
4.52159,62,3900.4672
3.871367,60,3924.355187
4.600265,57,3947.624586
3.93851,47,3967.054806
0.401816,6,3969.349627
4.964592,54,3989.761799
4.28359,66,4015.847271
1.820729,23,4025.04828
3.528213,46,4042.752655
3.415875,38,4057.491034
4.008372,47,4076.067374
3.113932,40,4092.043253
4.255301,47,4110.233971
1.37954,19,4117.580881
0.557736,8,4120.455185
2.694963,35,4134.556003
0.946148,17,4141.054055
4.063807,45,4158.966465
0.915799,16,4164.862388
3.265489,41,4182.592926
4.898857,66,4208.655358
1.959485,22,4217.332351
3.522488,39,4234.844085
0.846829,10,4238.362734
3.164365,32,4251.458198
3.571587,47,4269.808015
4.268242,45,4288.142678
4.46563,53,4309.839783
1.802828,21,4317.958068
3.027431,31,4330.649587
2.249044,26,4341.15601
3.767306,53,4362.757567
3.891888,54,4384.270939
1.152884,15,4390.345862
2.333988,31,4402.965116
4.162183,51,4424.236741
2.359717,26,4434.873575
4.480555,55,4457.454751
3.163024,48,4477.769934
1.869894,23,4487.669233
4.157497,65,4514.759263
4.014077,41,4531.278951
4.620517,55,4553.273902
1.953911,23,4562.363045
4.177973,59,4585.453196
4.769665,46,4602.441883
2.226508,25,4612.270694
4.180229,41,4628.454312
2.940769,26,4639.664245
1.685744,24,4649.75193
4.111287,48,4669.851438
3.017579,40,4686.552697
1.346423,20,4694.141558
4.450139,55,4715.743435
3.588395,43,4732.95055
