# {"t_start": 1768293732.4861176, "env_id": "PctContinuous-v0"} 
r,l,t
2.940769,26,9.365671
2.882144,40,27.171907
2.360259,28,39.87861
2.446248,32,53.558308
1.346423,20,62.37
4.199237,51,83.883519
3.588395,43,100.97579
2.801115,37,115.589425
2.402532,30,127.969769
2.425647,36,143.28436
3.620949,43,160.856457
3.528213,46,179.050586
3.252179,36,192.496555
2.492935,30,203.870486
1.390271,19,210.876731
3.669262,41,227.98374
2.156095,30,241.194413
4.560996,55,266.858838
1.543782,18,274.079671
1.63343,24,284.284802
2.463467,28,297.191897
3.114024,46,315.692592
3.171208,40,332.252086
2.404369,32,345.665246
3.658297,45,365.687617
1.925426,20,374.07318
3.75709,47,393.897211
3.446033,36,407.781627
2.648469,34,421.190258
2.600459,25,430.459203
1.178676,18,436.865511
2.294668,28,447.292257
3.633883,36,460.797087
2.054222,23,469.884451
0.964788,15,475.381712
3.351234,45,493.78289
2.512585,36,509.560862
3.269579,42,526.056597
2.287009,29,538.765248
3.019318,33,551.762284
3.299375,43,569.680326
3.379864,52,591.658816
0.266351,6,594.165677
3.354426,52,615.301846
3.751039,39,631.79197
3.412681,38,647.584278
2.468752,28,659.858814
2.478561,36,676.40079
3.421809,33,689.982257
3.664824,42,706.876483
3.352308,31,719.063701
3.369078,30,731.456518
3.33361,46,749.667383
3.201909,39,764.657701
3.137337,42,781.79356
1.948194,29,793.063811
2.431873,30,805.165051
3.588395,43,822.862953
3.757627,50,843.680917
2.911418,35,858.763693
2.425647,36,873.56425
3.468514,42,891.133822
4.173734,50,911.463036
2.656577,29,923.695799
1.253116,16,930.067492
1.230231,17,937.059394
3.669262,41,953.364511
1.899465,27,964.365688
2.98388,38,979.19276
3.906899,52,1001.882233
1.745182,26,1013.29871
3.242596,36,1028.080968
3.217403,47,1046.869543
1.744704,21,1056.194962
1.582424,23,1066.353432
4.16867,55,1089.107335
2.187325,24,1098.98299
1.708183,23,1109.100092
2.429307,24,1117.6763
4.536852,59,1141.764269
3.25579,30,1152.564338
3.588489,43,1168.871259
3.919476,44,1186.375418
4.378274,43,1202.526106
2.054222,23,1212.266226
3.679507,52,1233.551408
3.486207,47,1253.890424
2.512585,36,1268.52008
3.08542,39,1285.081863
3.881522,49,1305.487137
2.517822,29,1317.207467
2.497005,31,1330.377546
2.431453,38,1345.459847
3.298424,44,1364.089842
3.530068,56,1386.083098
3.662731,37,1400.291591
3.136852,33,1414.991684
2.468752,28,1426.890371
2.478561,36,1440.778449
3.966993,39,1457.161358
3.664824,42,1473.26087
4.332821,44,1491.079198
2.772949,24,1501.079016
3.519904,49,1519.902474
2.821706,36,1535.078454
1.206052,15,1541.475774
3.414034,53,1563.299489
2.431873,30,1575.787369
1.496237,19,1583.558077
3.152074,42,1602.190031
3.444715,39,1618.88132
2.246075,33,1632.064933
3.412397,41,1649.252532
4.173734,50,1668.949012
2.78669,31,1682.597781
2.149097,28,1693.277337
2.058406,27,1704.661995
0.726253,7,1707.580138
3.013683,42,1725.492041
4.069776,50,1747.46939
4.404064,58,1772.541436
1.554894,23,1782.059852
1.9222,23,1791.966685
2.446704,38,1807.482097
1.828864,22,1816.181563
2.404369,32,1829.464645
4.416133,58,1853.558525
2.187325,24,1864.283912
2.123531,28,1875.707713
4.026935,42,1892.18263
3.902593,51,1912.199383
4.268242,45,1927.994535
3.770388,44,1945.653922
3.951216,45,1962.849217
4.712143,46,1980.963683
4.08296,52,2000.779868
3.362937,49,2019.967077
2.606813,33,2033.48148
2.512585,36,2048.152274
3.877039,49,2068.174494
0.811711,12,2073.679095
4.112315,47,2092.00846
2.567866,32,2105.355232
2.375358,37,2120.085482
3.454416,47,2139.74982
4.157497,65,2165.580676
3.662731,37,2181.170377
0.415459,4,2182.62531
4.081883,47,2201.057279
3.025361,43,2216.360309
2.502122,25,2226.756385
1.809376,19,2234.478526
2.829206,27,2244.275318
3.455003,31,2256.475425
2.582324,38,2271.576772
4.111287,48,2289.979483
1.516471,20,2297.883895
2.177058,32,2310.258255
4.899573,61,2334.03411
1.363651,17,2339.665033
3.871679,51,2358.16406
4.399524,47,2375.272199
3.769992,58,2399.050976
2.713417,34,2412.958385
2.38751,30,2424.98937
4.226446,46,2442.532304
1.326989,17,2448.560089
1.390271,19,2456.174454
3.882376,42,2473.29671
3.498595,49,2492.505447
4.492361,54,2514.167879
4.404064,58,2538.484641
0.946148,17,2545.62455
3.138398,34,2559.899595
1.761816,28,2571.518828
2.178682,26,2582.261818
4.051748,55,2604.362975
2.567825,31,2616.891803
3.32538,36,2630.450638
0.846829,10,2634.076739
