# {"t_start": 1768293732.3773801, "env_id": "PctContinuous-v0"} 
r,l,t
5.049335,50,18.665196
2.882144,40,38.493163
2.508625,31,51.179357
0.980926,13,57.394487
3.99635,62,83.55918
1.963582,25,93.664186
2.833075,34,106.685279
1.660235,21,115.285836
2.753222,33,129.437255
2.880894,45,147.780781
2.713417,34,161.758885
2.202262,26,171.698556
2.89367,32,184.061621
1.776183,22,192.606991
3.113932,40,207.771743
2.562019,28,218.784075
4.420554,60,244.770439
0.754467,10,249.385243
1.974,23,260.493509
4.551408,55,283.668145
3.70833,41,302.200187
4.136233,58,324.890714
1.250778,15,331.678372
1.548676,22,340.883959
3.658297,45,361.490096
2.679182,29,373.280125
3.75709,47,393.283942
3.271568,34,406.284455
3.033563,39,421.601417
2.30815,22,429.865157
2.973929,38,443.458403
2.492209,31,455.565432
3.952963,39,470.182986
3.679173,46,488.693032
2.904656,42,507.096881
4.195281,61,531.695037
2.512585,36,545.863085
0.463249,7,548.882831
3.196459,42,566.573223
3.148448,35,581.682738
1.926412,26,592.384088
2.17211,34,605.711144
1.957973,24,615.781134
1.721574,23,624.894092
3.751039,39,641.695946
3.298611,36,657.385742
2.308003,27,670.061401
1.354404,21,678.70544
3.966993,39,694.7391
3.664824,42,711.665348
3.849657,38,726.977115
3.17572,28,738.578034
1.810146,26,748.694261
2.508625,31,760.481584
3.303374,45,778.185853
3.871367,60,802.599
3.795328,46,821.49989
2.057207,26,831.780351
4.034675,53,854.06497
3.546811,40,870.880885
3.977305,61,896.995141
2.713417,34,910.67005
3.528213,46,929.182574
3.415875,38,944.648059
1.182038,15,950.686796
3.113932,40,967.084025
2.105819,21,974.690702
4.26495,58,999.98586
3.575476,44,1018.763585
2.928053,38,1033.684264
3.640595,46,1053.669711
1.9222,23,1062.968714
0.864147,15,1069.786481
1.184308,14,1075.690715
1.289102,19,1083.272258
3.487794,43,1101.096102
3.136611,34,1114.994984
2.499975,33,1128.997559
1.874471,20,1136.792168
1.890715,26,1145.981388
2.768986,27,1155.990624
3.770388,44,1172.782887
2.427868,30,1184.910885
3.633883,36,1198.678859
4.30342,55,1220.895574
2.662712,38,1236.672262
4.011985,57,1261.46166
2.236125,30,1273.412621
2.264893,29,1285.717122
1.294283,17,1292.890325
2.724998,31,1305.783978
3.029625,40,1322.167438
3.287093,50,1342.786653
1.869894,23,1351.378093
3.649623,58,1375.365614
4.804158,48,1394.504273
3.53118,41,1411.617251
3.623656,41,1428.783098
3.900728,55,1451.598942
2.090768,20,1459.372187
2.56531,27,1469.697498
2.319403,20,1477.179111
4.621738,45,1495.486126
1.5388,23,1504.585572
3.02068,38,1519.683222
3.642723,49,1540.414554
1.654258,24,1549.996998
3.024475,36,1564.898077
2.687372,33,1578.958461
2.544415,34,1592.903443
5.013792,55,1617.083002
2.802655,44,1635.602604
2.713417,34,1649.290471
2.448691,31,1661.990759
4.102481,45,1680.470688
2.597337,31,1692.659228
2.058406,27,1703.977063
2.380306,25,1714.559742
3.88059,53,1737.609713
3.400914,42,1755.471265
3.729294,49,1776.895572
3.966589,49,1797.060314
2.193517,25,1807.665738
4.733378,65,1834.488123
4.342601,57,1858.770233
1.675132,24,1868.390256
3.467042,42,1885.297804
2.965538,32,1897.573716
3.863468,48,1916.176766
