# {"t_start": 1768293732.4913862, "env_id": "PctContinuous-v0"} 
r,l,t
4.154129,39,14.269689
4.764934,68,45.079755
3.02068,38,62.089809
3.238849,44,80.279721
3.083891,47,99.714249
2.874514,35,113.166002
3.178192,38,129.290795
2.309219,31,142.065915
2.402532,30,154.477221
3.977305,61,178.887262
2.713417,34,190.96549
3.010364,40,206.59147
5.015605,54,228.222712
3.47487,39,245.565204
2.058406,27,258.04651
2.234325,23,268.665147
4.544511,62,295.574119
1.445078,20,303.658899
3.418257,45,321.489128
3.409665,44,340.272396
3.70833,41,358.970895
2.980036,44,377.380034
3.265489,41,394.878849
3.311691,44,411.577518
4.326061,57,433.399821
1.815931,18,439.672407
2.499975,33,452.468547
2.915962,28,462.581057
2.82532,37,476.756931
3.894964,41,493.748407
4.071512,49,514.462012
3.951216,45,533.149652
1.523354,18,540.662335
3.872527,49,560.966702
3.184151,46,580.381971
3.022397,40,596.805867
1.010091,13,601.882756
3.08542,39,617.491225
3.430817,44,636.46071
3.225538,36,651.460815
3.80512,49,673.773792
3.802845,57,697.1828
2.092308,25,707.380214
2.733646,41,723.695436
3.2212,32,736.975131
3.654014,43,753.250045
2.584675,30,764.855115
2.478561,36,779.564531
4.243484,41,795.958669
2.148237,23,805.251644
4.058538,39,821.270529
3.080857,27,832.058104
3.731123,53,854.791179
1.895544,22,864.184954
0.627964,9,867.64867
1.676571,25,878.772563
3.377232,41,895.481986
3.678118,44,912.793432
4.383494,57,936.746632
3.870509,43,953.660907
1.137437,18,960.87706
2.713417,34,974.275557
2.892749,37,991.00458
3.195424,35,1005.565287
4.293258,51,1026.665488
4.525065,57,1050.156208
3.033981,34,1064.770664
4.11909,56,1088.265181
4.069776,50,1109.369282
3.146903,40,1125.779614
3.360359,43,1142.31313
3.192677,35,1154.662894
2.446704,38,1169.501165
3.646232,48,1187.982135
1.675132,24,1197.559319
3.583752,44,1214.976266
2.965538,32,1227.97908
2.255241,30,1240.656395
2.953733,29,1253.462693
1.601567,23,1263.258977
3.46328,35,1277.686374
1.794865,24,1287.384116
3.837115,43,1305.56873
3.952963,39,1321.664405
1.924655,21,1330.455364
2.538917,36,1344.907739
3.770736,52,1366.075627
2.512585,36,1380.16027
3.404375,43,1397.177177
1.45991,19,1404.562687
3.148448,35,1420.769099
3.013235,39,1436.5829
3.579578,54,1458.3626
3.768687,49,1477.160993
3.728995,59,1501.368534
3.545028,36,1515.489108
3.654014,43,1533.076297
2.534675,29,1544.944952
2.478561,36,1559.909912
4.623502,45,1578.75818
3.20449,34,1592.666742
3.849657,38,1610.056991
4.273262,40,1626.555657
3.470896,48,1646.659853
3.674735,45,1664.462599
4.285627,58,1687.94048
3.083891,47,1707.877178
2.874514,35,1722.770098
3.32749,40,1740.166319
3.206104,43,1758.878729
3.296476,38,1775.021251
3.614307,55,1797.986243
4.265141,50,1818.258611
2.448691,31,1831.398672
3.252179,36,1845.893611
1.253116,16,1852.662167
3.964362,52,1874.880411
4.969431,54,1895.981958
4.11909,56,1917.566167
3.400914,42,1932.761524
1.84069,21,1941.365817
2.88939,37,1955.701534
2.933446,31,1967.46332
2.934841,43,1983.772197
4.019441,53,2004.146591
3.078308,39,2020.010247
2.152153,25,2030.582527
2.149292,23,2040.191764
4.573115,52,2061.157942
2.710646,26,2072.162396
2.735656,36,2086.170626
4.180146,44,2104.289596
2.759857,36,2117.956118
4.102004,46,2137.561912
4.482783,44,2155.353751
2.809111,36,2169.887961
3.679507,52,2190.573286
2.606813,33,2203.170798
3.343726,45,2220.072844
4.369992,54,2241.278405
3.430817,44,2258.160418
4.023842,46,2276.561192
1.552257,22,2285.171726
1.941529,30,2296.767174
1.746621,21,2305.086244
3.530068,56,2327.383377
2.998427,29,2337.66409
2.07347,22,2345.347116
3.035784,35,2357.86983
3.953081,56,2378.56837
3.966993,39,2394.343888
4.719449,56,2417.272527
4.5512,47,2435.150274
2.283509,20,2443.371229
3.771417,54,2464.412742
4.111287,48,2483.462814
1.206052,15,2489.463989
3.083891,47,2508.284103
3.946718,48,2527.881444
4.000581,48,2548.386959
3.543762,47,2567.888844
5.388585,59,2591.853221
5.001043,74,2621.559494
2.531924,31,2633.057703
3.936741,48,2650.612583
3.415875,38,2665.731921
3.301919,37,2679.775308
4.728371,59,2701.638589
1.733161,19,2709.073101
3.720896,51,2729.392882
1.741197,24,2738.776039
4.567289,59,2761.978752
3.640595,46,2779.945512
3.192677,35,2794.299682
1.761816,28,2805.471962
0.871358,11,2809.250712
3.444885,46,2828.052556
3.166764,38,2841.960368
2.149292,23,2851.17955
0.846829,10,2855.165443
2.998996,30,2866.984757
3.087495,40,2883.160098
1.5204,15,2888.968307
1.467345,21,2897.083161
2.294668,28,2908.075584
4.378274,43,2924.673041
2.474083,31,2936.270879
4.825624,66,2961.044918
1.345297,18,2968.190319
2.512585,36,2981.078017
4.018852,51,3001.250208
3.622649,45,3018.775415
3.104452,34,3032.975871
2.801056,36,3047.186903
3.163024,48,3065.378514
3.454416,47,3083.259107
3.589946,57,3106.027157
2.69981,26,3115.454766
2.782389,28,3126.166594
4.081883,47,3144.496774
2.478561,36,3158.696351
4.623502,45,3175.979
4.105897,49,3194.26181
2.75458,26,3203.981116
3.987395,38,3219.076428
1.5388,23,3228.269559
1.895544,22,3238.868024
3.948927,54,3261.783018
1.676571,25,3271.059876
0.504169,6,3273.550813
3.588395,43,3291.568571
2.309219,31,3303.363512
4.663958,50,3322.268174
2.589881,40,3338.870776
3.112214,38,3353.461245
1.17137,15,3359.071862
4.226446,46,3377.85346
3.47487,39,3392.486399
1.56419,22,3401.076309
4.658508,51,3421.045589
2.42081,34,3434.560772
3.400914,42,3450.671642
4.692457,61,3475.673421
3.640595,46,3493.545041
1.9222,23,3501.660366
2.446704,38,3515.955909
3.861495,51,3535.37005
3.280007,43,3551.805453
4.553317,60,3575.75208
