# {"t_start": 1768293732.456668, "env_id": "PctContinuous-v0"} 
r,l,t
4.621738,45,16.356719
1.188488,18,25.683471
3.02068,38,42.501164
3.53679,47,63.537957
1.506947,21,71.313624
2.431873,30,84.584074
4.110346,50,104.095424
2.801115,37,118.9292
2.911418,35,134.183878
3.769992,58,158.300012
2.713417,34,171.004938
2.38751,30,183.036826
3.764384,40,197.924981
4.071567,48,216.785515
3.113932,40,233.28959
2.234325,23,243.760236
2.507763,35,260.406862
1.64741,23,270.303761
3.605339,47,290.952012
2.373888,31,303.819275
3.70833,41,320.013761
2.070085,33,334.41272
2.660772,32,348.32106
3.078308,39,365.446947
4.231964,56,388.903315
0.602112,7,391.793431
1.558691,20,399.579561
3.446033,36,413.504612
3.387251,45,431.024389
2.30815,22,438.493359
4.604591,54,459.109937
3.140317,36,472.913258
3.633883,36,487.082369
2.054222,23,496.817815
3.297813,48,516.611603
3.285062,44,535.620481
2.297999,31,547.621507
2.857571,38,563.598952
3.196459,42,581.679893
4.152998,48,601.064379
1.552257,22,609.880675
3.034739,47,629.404328
2.887217,35,644.208612
1.642816,21,653.19179
3.751039,39,671.319199
4.116736,49,691.600071
2.995188,34,705.507149
2.478561,36,719.699765
3.966993,39,735.485168
2.002029,21,743.89856
4.058538,39,758.826463
3.987395,38,773.187313
0.626461,10,777.712895
3.50821,43,795.189379
2.446248,32,808.303757
2.177058,32,821.191831
2.639881,32,833.890357
2.687372,33,848.406645
3.543762,47,868.344787
3.088465,36,884.186401
3.172753,48,903.222433
3.771262,44,920.763408
2.803645,36,936.219125
3.285665,37,950.7958
2.781557,32,963.409767
2.930679,38,978.209574
4.087826,45,998.204045
3.965145,55,1021.391938
2.352257,31,1033.680168
3.30372,44,1052.682227
2.455175,32,1066.508252
2.306009,27,1077.497276
0.915799,16,1083.989516
3.552019,47,1103.499216
3.280007,43,1120.986982
4.231964,56,1143.194078
3.136611,34,1155.497192
1.336705,17,1161.907844
3.271568,34,1174.78653
2.328121,31,1187.19538
2.768986,27,1197.909154
3.588489,43,1215.004029
3.951216,45,1233.476155
2.331815,26,1244.226134
4.30342,55,1267.686576
3.860972,54,1290.495903
2.941684,38,1306.702006
2.973905,40,1323.121098
3.106493,40,1339.190676
1.901555,25,1348.895149
1.95512,24,1359.186882
1.552257,22,1367.801201
1.998723,31,1380.445091
1.746621,21,1389.202676
1.384695,17,1395.694911
3.49503,35,1410.029791
3.247697,35,1425.506094
2.995188,34,1438.907398
3.423826,48,1458.530552
1.207415,11,1462.699451
1.370498,14,1468.107677
3.784368,37,1482.734607
1.810757,17,1489.398131
3.519904,49,1509.004779
3.60846,44,1527.294688
0.627964,9,1530.39603
2.965938,46,1549.291524
4.170854,50,1569.905135
2.687372,33,1584.002839
2.65291,36,1599.489646
1.460236,20,1608.89314
3.49441,53,1630.310077
2.176869,26,1641.404869
2.892749,37,1656.330786
3.807509,41,1672.997689
3.566621,41,1689.511057
4.131123,54,1712.165865
3.669262,41,1729.078297
3.078448,43,1748.714526
1.829094,25,1759.688299
3.282952,43,1778.019546
3.640595,46,1797.088362
2.193517,25,1807.506907
4.014561,57,1830.794833
3.474456,46,1849.819037
4.234129,57,1873.978979
4.553317,60,1897.712837
2.013649,21,1905.796936
3.75709,47,1922.594546
3.070752,31,1934.813371
3.305338,44,1951.897697
3.25579,30,1963.712101
3.588489,43,1980.585508
3.346332,39,1995.312397
3.468009,35,2008.49211
2.365958,28,2020.025912
2.061209,30,2032.536848
2.299066,31,2045.412191
2.236125,30,2057.701394
3.269579,42,2074.685609
1.646257,20,2082.587476
1.310316,14,2088.096938
3.953338,51,2109.015605
1.941529,30,2120.799299
3.454416,47,2140.580145
3.589946,57,2163.003689
4.389432,45,2181.985241
3.456721,39,2196.925737
2.861851,32,2208.178871
1.779101,26,2218.511954
4.623502,45,2236.903797
0.936349,10,2240.199491
4.332821,44,2257.331605
4.154129,39,2272.818214
3.470896,48,2291.321713
2.219541,27,2301.893977
3.238849,44,2319.401962
2.856519,44,2335.925474
3.757389,45,2351.908267
2.88906,35,2364.799607
3.871679,51,2383.786105
3.296476,38,2399.319212
3.461617,52,2420.723214
2.713417,34,2433.578917
2.38751,30,2445.319606
4.102481,45,2462.480944
3.47487,39,2478.799243
4.898128,61,2502.717289
4.012867,44,2520.490434
4.686033,63,2546.990218
3.950125,48,2567.185127
5.064419,65,2593.610191
3.084035,39,2609.674583
3.67151,40,2625.20858
3.47989,51,2644.848192
2.899952,35,2656.907517
3.779777,53,2677.395555
1.959485,22,2685.989964
3.136611,34,2699.020499
3.520665,44,2715.806778
3.271568,34,2728.782874
4.472661,58,2751.884136
3.894964,41,2768.489482
3.588489,43,2785.584746
2.6242,32,2797.813486
1.873614,20,2806.009742
3.975345,50,2825.841537
3.860972,54,2845.711414
2.299066,31,2858.299188
3.600809,49,2878.025992
3.106493,40,2893.809897
3.622649,45,2911.287854
1.95512,24,2920.293928
3.953338,51,2939.50396
2.229752,35,2952.580506
3.355809,45,2970.017048
2.268916,32,2981.82647
2.375907,23,2990.479208
2.641891,27,3001.388931
3.780938,43,3018.104167
3.496231,50,3038.798354
2.624677,27,3049.191765
3.002458,31,3061.009109
4.332821,44,3077.610831
2.860253,25,3087.003225
1.685744,24,3095.983047
4.602278,52,3116.793384
4.285627,58,3138.913779
3.235086,50,3158.706997
2.431873,30,3170.287914
1.687989,21,3178.100386
4.034675,53,3198.004108
4.312889,46,3216.212213
0.464193,7,3218.782113
1.47232,18,3226.108711
2.343297,29,3239.69357
3.764384,40,3256.712516
1.498251,19,3264.008035
4.525065,57,3287.0948
4.343494,48,3305.40559
2.9099,41,3321.441811
4.93778,60,3345.712512
4.404064,58,3368.020384
3.409665,44,3384.890837
1.204789,14,3390.389178
1.761816,28,3401.403417
2.729568,33,3414.71399
3.444885,46,3432.914546
3.972363,51,3452.388432
0.877722,8,3455.520348
3.863468,48,3475.001721
4.417212,47,3493.587419
4.439889,57,3514.803553
4.058769,42,3530.620342
1.178676,18,3537.399482
3.258704,38,3551.707531
4.378274,43,3568.595448
3.872527,49,3588.81331
2.904656,42,3605.605932
4.672525,68,3632.424305
2.512585,36,3645.989717
4.868743,60,3670.281468
1.694027,21,3678.512784
4.785221,54,3701.084957
4.689096,57,3724.302013
2.431453,38,3740.093642
1.20365,17,3747.696424
3.530068,56,3769.839431
4.477624,46,3787.053203
2.889313,29,3799.808522
3.147861,36,3813.403236
1.884001,28,3824.421456
2.530797,26,3834.510017
4.357715,51,3854.487706
5.076217,50,3875.110961
3.570157,33,3888.219997
1.5388,23,3897.482091
4.111287,48,3916.228464
4.885078,68,3943.920797
3.083891,47,3963.515302
3.437524,42,3979.734605
4.714998,56,4001.48054
2.383255,32,4014.294344
3.870509,43,4031.299417
3.172753,48,4049.79298
3.025017,37,4064.286702
4.173734,50,4084.087733
4.226446,46,4102.682846
4.008372,47,4120.202802
3.374096,43,4137.299919
2.234325,23,4146.149791
3.88059,53,4166.847842
3.795707,46,4186.14287
1.935023,22,4194.815688
1.324589,20,4202.683618
4.304452,48,4221.821447
2.027737,32,4236.528491
2.258098,27,4247.407399
1.859577,26,4256.911099
4.231964,56,4279.904844
1.815931,18,4287.31349
2.751061,34,4301.611164
3.591471,38,4316.30424
3.087495,40,4333.11677
