# {"t_start": 1768293732.4135287, "env_id": "PctContinuous-v0"} 
r,l,t
2.032289,19,6.521931
3.470896,48,27.851454
2.641144,33,42.267926
3.017579,40,60.274261
1.654258,24,69.363627
3.795328,46,89.366112
0.865494,11,93.547913
1.142184,16,99.94713
3.761884,42,116.2441
3.172753,48,136.924391
1.057057,13,142.151998
2.343297,29,154.050264
4.610909,49,173.54886
3.035119,34,186.041404
3.113932,40,201.248128
4.427499,49,220.503509
4.11909,56,245.36718
0.557736,8,248.848941
2.356121,29,262.861437
3.640595,46,282.244688
3.062278,33,297.237473
2.864944,42,313.955512
3.728303,50,334.539671
1.582424,23,344.432647
3.583752,44,364.121371
2.965538,32,377.459704
1.826304,25,388.157748
2.429307,24,397.326914
2.328121,31,409.731864
0.900682,9,413.045287
3.770388,44,430.257507
2.492209,31,440.956362
3.403474,34,454.438134
3.539231,44,471.15278
2.904656,42,487.728311
3.770736,52,510.050589
3.474844,47,528.58064
2.787796,37,544.092844
2.222764,28,555.93681
3.019318,33,569.365813
2.640465,33,583.749622
3.163024,48,603.149305
1.499065,19,610.855165
3.948516,62,636.830077
2.69981,26,647.529582
3.741035,44,667.722482
0.776734,11,672.520301
2.709162,39,688.778002
2.036797,19,696.345268
4.105897,49,716.143945
1.330935,15,721.651321
3.987395,38,737.551404
1.685744,24,747.139689
2.821706,36,760.942372
3.017579,40,776.156337
1.835504,27,787.336726
3.865738,47,806.537141
2.057207,26,817.285254
3.098809,41,833.54736
4.242799,45,852.756422
3.067534,47,872.832297
2.897786,35,888.051561
2.343297,29,899.625848
4.226446,46,917.681908
2.362469,29,930.032273
2.930679,38,945.445981
4.427499,49,965.142507
4.11909,56,988.52558
4.069776,50,1009.944284
2.220727,26,1020.763316
2.698961,34,1033.943675
2.193517,25,1044.427355
4.330731,61,1070.75836
0.628694,9,1074.54979
3.700012,51,1095.947706
3.972363,51,1116.24993
2.187325,24,1126.925141
0.846829,10,1130.650146
4.417212,47,1148.165123
2.541495,33,1160.446969
1.5204,15,1166.22943
2.113224,27,1176.246156
3.258704,38,1191.540059
2.268835,25,1201.226862
3.741704,47,1220.565853
0.501472,8,1223.644745
3.167055,42,1241.137943
3.226179,43,1260.052468
2.368299,32,1273.226412
3.430817,44,1291.451242
1.362278,15,1297.947459
1.552257,22,1306.842265
3.379864,52,1328.350044
1.746621,21,1336.627266
3.087865,47,1355.768274
4.389432,45,1374.252089
2.132368,23,1383.345503
2.716749,31,1395.473247
2.123273,31,1408.162521
3.752172,37,1424.734207
2.56531,27,1435.324559
3.642745,34,1449.361577
3.17572,28,1460.534763
2.477572,36,1474.254511
4.01298,47,1493.047939
3.303374,45,1511.242072
2.965938,46,1530.044554
4.320475,54,1551.785226
4.000581,48,1571.424169
2.65291,36,1587.044715
3.444715,39,1604.529352
1.137437,18,1612.155748
2.713417,34,1626.232875
3.210822,43,1643.946884
3.807509,41,1660.538912
2.362469,29,1672.154081
3.649693,48,1691.847488
1.839673,20,1700.425607
3.013683,42,1718.42185
3.673618,45,1737.528024
3.906899,52,1760.234617
2.95843,38,1776.54837
4.014365,44,1794.9375
1.711824,27,1805.856699
3.127266,38,1821.359212
4.234129,57,1844.643611
4.613732,61,1871.030479
3.226487,35,1884.754893
3.75709,47,1903.133793
3.591471,38,1917.528622
3.672573,48,1935.086283
3.129764,29,1946.863797
3.770388,44,1963.728489
4.448263,49,1982.428588
4.105395,40,1998.345249
1.352141,15,2003.450936
4.092505,56,2026.149437
0.854432,13,2031.64479
1.010091,13,2036.74239
4.369992,54,2059.570216
2.511262,33,2072.946185
3.225538,36,2087.025578
3.80512,49,2106.965291
2.17211,34,2120.454034
1.783622,22,2130.345906
4.157497,65,2156.363392
4.389432,45,2174.554846
2.641891,27,2185.426943
2.534675,29,2196.549185
2.709162,39,2210.538715
0.624713,7,2213.125547
3.948362,45,2231.979047
2.932018,28,2242.138749
4.154129,39,2257.36578
2.066126,30,2269.464164
3.674735,45,2286.639347
1.922964,25,2296.430069
2.965938,46,2314.255156
4.320475,54,2335.11098
2.463005,30,2345.822643
0.602454,9,2348.943591
4.871653,53,2368.142089
2.394142,35,2381.562823
1.963388,25,2391.729238
3.936741,48,2411.236952
4.958271,53,2432.240189
2.597337,31,2444.038516
2.457179,31,2455.848205
4.427499,49,2475.529943
2.000901,28,2487.05065
3.673618,45,2504.468048
4.404064,58,2528.156447
2.26426,30,2540.961954
2.306009,27,2552.442561
4.136233,58,2576.674599
2.591692,31,2589.165087
2.404369,32,2602.134
4.416133,58,2625.249841
1.34253,13,2629.833119
3.384478,42,2646.042517
3.164365,32,2657.32778
1.757175,25,2667.755543
2.30815,22,2675.872528
3.968307,47,2694.364913
4.448263,49,2712.300583
4.944444,49,2731.143089
4.252368,54,2752.652293
2.538917,36,2767.32671
0.821691,12,2772.145432
2.512585,36,2786.438072
0.359215,6,2788.663874
2.773112,36,2802.64516
2.563416,30,2814.339952
3.299375,43,2831.630478
1.762232,27,2840.938565
2.222326,27,2851.93467
3.589946,57,2874.942323
4.477624,46,2893.121696
2.07347,22,2901.131211
2.995188,34,2915.158903
1.884001,28,2925.656787
3.680211,36,2939.155941
4.017898,47,2956.641458
4.284641,43,2972.88733
3.987395,38,2987.22182
2.066126,30,2999.353243
2.598362,32,3011.541906
1.698806,23,3020.347664
4.533955,68,3048.033515
2.193427,28,3058.84697
4.110346,50,3077.406003
4.60714,60,3100.755019
4.871653,53,3121.353332
2.425647,36,3135.251117
4.352794,52,3155.147649
3.528213,46,3173.641146
2.723289,30,3184.47908
3.566621,41,3199.74477
4.525065,57,3222.224459
3.033981,34,3237.250892
4.11909,56,3261.362226
4.069776,50,3281.165419
1.024077,12,3286.439318
2.88939,37,3300.554732
1.041967,12,3305.158788
3.046689,45,3322.448548
1.828864,22,3331.236147
0.687242,9,3335.02599
2.001325,23,3344.566587
4.476938,52,3364.030795
3.863468,48,3383.152432
2.429307,24,3392.532207
3.387251,45,3410.229488
4.586626,48,3429.143508
0.863803,14,3434.621748
3.951216,45,3451.735392
5.122605,52,3473.019693
1.232097,14,3478.432894
2.315605,33,3491.659563
3.952337,55,3512.338534
2.512585,36,3525.046377
4.018852,51,3544.768661
4.762851,59,3567.540464
2.359717,26,3578.2421
2.200351,29,3590.252018
2.431453,38,3605.653543
1.20365,17,3612.546008
2.733646,41,3628.768464
3.545028,36,3642.545063
3.456721,39,3658.037761
2.242404,26,3668.657646
3.900728,55,3690.264436
3.483747,34,3704.965377
4.285527,50,3725.348251
3.784368,37,3740.535206
4.345265,41,3757.354362
0.76,12,3761.539903
2.598362,32,3774.292742
3.948927,54,3796.139179
3.414034,53,3817.038486
2.431873,30,3828.424672
4.110346,50,3848.129616
3.206104,43,3865.929688
3.088465,36,3880.550743
4.443332,68,3907.551182
1.925035,24,3916.859492
1.658464,23,3926.34897
5.219819,56,3949.078621
3.566621,41,3966.142132
4.898128,61,3989.42497
2.234325,23,3998.131966
4.544511,62,4023.141501
2.627531,34,4036.656897
0.480196,7,4039.143702
0.113095,4,4040.543799
2.933446,31,4052.260378
1.853747,30,4064.33921
3.861495,51,4084.547745
2.74453,35,4098.943669
4.613732,61,4121.664087
3.71072,42,4138.422255
3.75709,47,4157.152188
3.923486,40,4172.423929
4.389072,56,4195.543586
4.180146,44,4213.328365
4.604591,54,4236.5729
3.951216,45,4254.252397
2.467932,28,4265.049464
4.989972,62,4290.347413
2.538917,36,4305.696425
4.672525,68,4333.05398
3.343726,45,4351.763914
0.54491,8,4354.152726
4.266196,54,4376.033318
4.319144,49,4395.765369
1.78096,24,4405.333358
2.937587,46,4424.857857
3.454416,47,4444.638151
3.000376,45,4462.521785
3.2212,32,4476.246257
4.620517,55,4499.038099
3.780938,43,4517.239625
4.691714,68,4544.533303
3.966993,39,4559.749035
0.85465,9,4563.743939
2.617065,24,4572.342816
3.17572,28,4583.847293
1.390097,21,4591.832557
4.602278,52,4610.98677
2.124504,28,4622.761788
0.680635,12,4627.230857
4.320475,54,4650.036275
2.687372,33,4664.033638
0.446232,7,4667.040106
1.147224,16,4673.651201
1.968319,29,4685.84395
2.176869,26,4696.031192
4.818701,57,4718.248077
1.630113,21,4726.7481
4.457233,53,4747.63895
4.131123,54,4770.206928
4.969431,54,4792.744791
4.751381,64,4820.622979
2.352257,31,4833.565447
1.543782,18,4840.734359
1.190174,19,4847.927804
3.805448,42,4865.356643
1.761816,28,4877.663569
3.304645,43,4896.261293
1.20096,18,4903.756283
3.889399,50,4924.824104
1.815931,18,4932.044384
4.326701,51,4953.523164
2.915962,28,4965.249585
4.595575,60,4991.083576
5.254734,55,5013.099715
2.178786,28,5024.658046
4.966383,54,5047.071697
4.944444,49,5067.826377
4.30342,55,5090.588192
2.246757,32,5104.653881
4.11553,59,5128.678852
0.102329,3,5129.52397
3.404375,43,5147.039401
2.511262,33,5161.425346
4.152998,48,5181.733645
2.882748,37,5196.629674
1.607661,25,5207.427053
4.085323,54,5228.522392
0.976831,13,5234.16122
1.767062,16,5240.927537
3.797964,45,5260.227567
4.081883,47,5279.382519
1.354404,21,5289.039043
2.036797,19,5296.730492
2.226508,25,5307.460966
0.628784,8,5310.641479
3.987395,38,5327.142824
2.313082,34,5341.171335
0.636328,10,5345.14054
4.438843,60,5369.956511
2.965938,46,5388.842354
1.794372,22,5398.555001
1.846221,22,5407.64322
4.034675,53,5429.244047
4.399524,47,5450.661305
1.78628,27,5461.750352
1.390456,16,5468.34403
5.177905,63,5494.214071
4.48613,47,5512.221862
1.253116,16,5518.827169
4.898128,61,5545.033155
5.072373,55,5567.736986
4.11909,56,5590.550965
3.503281,43,5607.963774
4.946783,64,5635.821782
4.399205,53,5656.43972
4.664687,51,5678.756746
3.55526,52,5699.840228
4.248334,56,5723.334854
4.710788,64,5750.739462
4.553317,60,5775.5446
4.809128,58,5801.115087
1.558691,20,5810.037538
2.429307,24,5820.354944
2.541495,33,5833.933148
4.664471,49,5854.44745
3.155836,39,5871.135139
3.919476,44,5889.7944
2.069372,23,5899.352614
2.56148,32,5912.168976
3.767306,53,5934.146152
3.597023,48,5954.474958
0.676018,11,5959.043611
4.409597,55,5982.644301
0.436294,8,5986.142875
3.148448,35,6000.944098
4.360137,54,6024.134181
0.658295,11,6028.347592
1.869894,23,6038.341829
4.32491,67,6065.982344
4.389432,45,6085.756123
3.909062,47,6104.946713
3.780938,43,6123.552652
4.848711,70,6153.748164
4.623502,45,6173.43751
4.285527,50,6194.147363
2.829206,27,6206.23123
5.236122,51,6228.019253
0.694838,11,6232.625748
5.042322,56,6257.338586
4.045765,55,6280.563181
1.632907,23,6290.92475
3.946718,48,6312.17345
4.110346,50,6334.235307
3.871679,51,6356.452317
3.546811,40,6373.047721
2.769273,43,6391.544399
5.108268,58,6416.622524
2.448691,31,6431.152042
2.78669,31,6444.422343
2.085741,27,6456.066507
4.728371,59,6479.801514
4.200726,46,6499.831
4.686033,63,6528.744767
5.05102,61,6555.721457
4.692457,61,6583.84226
3.966589,49,6606.03539
2.193517,25,6617.438246
2.244792,36,6633.273981
2.861986,34,6649.089559
2.504702,33,6664.552297
1.389286,16,6671.840495
3.396954,37,6688.751115
3.05745,37,6706.408658
3.591471,38,6722.640592
2.488569,32,6737.045409
3.648495,37,6754.325007
2.700671,35,6769.933281
3.919476,44,6789.370153
4.857002,48,6811.040017
4.781905,60,6839.26597
3.362937,49,6861.445617
1.882636,25,6873.038763
5.007927,65,6902.961083
3.08542,39,6921.267733
2.444195,32,6936.046933
4.455276,51,6959.856472
3.134567,41,6980.175472
2.036794,32,6994.870347
2.887217,35,7010.454617
2.086314,30,7023.669772
4.389432,45,7043.660593
3.53118,41,7062.945602
2.584675,30,7076.762625
4.746142,69,7110.319961
3.966993,39,7128.350765
2.002029,21,7138.334699
4.284641,43,7159.544828
5.049335,50,7184.04203
2.187442,32,7200.621454
4.111287,48,7222.040504
4.52159,62,7251.941424
3.563087,56,7276.483924
4.243138,52,7300.161303
