# {"t_start": 1768293732.4652784, "env_id": "PctContinuous-v0"} 
r,l,t
4.52676,44,16.180798
2.149183,31,31.878831
4.01298,47,51.48182
3.303374,45,70.492151
2.594785,39,87.903216
3.078197,37,102.100018
3.868249,46,120.195489
2.021925,26,131.830539
2.911418,35,145.980767
2.525395,38,161.917708
4.265141,50,181.410226
2.231662,27,191.089542
3.415875,38,205.592069
1.861723,24,215.089146
3.113932,40,231.47162
4.569348,50,254.087384
4.420554,60,280.67333
4.069776,50,302.971048
2.928053,38,317.986549
3.084035,39,334.384155
4.194855,47,355.162023
2.619237,40,371.81922
0.871358,11,376.322771
3.040296,38,393.012014
2.497702,29,403.90158
2.965538,32,416.1935
3.05745,37,430.502776
2.429307,24,438.903786
3.033563,39,454.225381
3.002522,28,463.993972
1.109736,17,470.971048
1.844317,22,479.173996
3.20875,32,492.914358
3.539231,44,511.696051
2.715983,39,527.097896
3.597023,48,546.920832
1.930397,26,557.99576
2.461617,34,571.786658
2.773112,36,586.983013
3.148448,35,601.478773
3.299375,43,618.61167
1.817378,28,631.037515
1.499065,19,638.776773
3.824274,60,665.407537
2.29527,22,675.099724
4.368092,52,696.293021
2.716749,31,708.99995
2.615861,38,724.100672
1.770228,16,730.705206
3.623822,41,747.236228
1.330935,15,752.358293
2.940769,26,762.799382
3.149504,44,780.278729
3.47549,42,797.413451
2.059123,27,808.176622
2.594785,39,824.191453
4.320475,54,846.667249
2.57394,31,860.103104
3.273304,44,878.803878
1.147224,16,885.697763
2.615722,41,902.000888
2.713417,34,915.088592
2.966995,39,931.606681
2.258388,26,942.397631
1.498251,19,949.797847
3.859614,51,970.313721
3.033981,34,983.971032
3.965145,55,1008.19571
4.492361,54,1030.295208
1.024077,12,1034.675316
1.554894,23,1044.499527
3.70833,41,1061.8963
2.070085,33,1076.425451
0.628694,9,1079.869442
1.859577,26,1090.493163
4.553317,60,1115.108724
2.013649,21,1124.070535
2.848438,35,1138.101449
3.164365,32,1149.713161
3.448299,46,1167.098192
2.30815,22,1175.198992
0.863803,14,1180.694225
3.728774,42,1197.688856
4.482783,44,1215.090924
2.474083,31,1227.616312
2.142202,31,1240.59148
1.229239,17,1247.673027
3.407917,46,1267.50287
2.092976,26,1278.526468
2.899375,38,1294.611791
4.152998,48,1313.474398
3.443545,45,1332.895992
3.579578,54,1354.071105
1.783622,22,1363.844296
3.530068,56,1386.103565
3.751039,39,1401.072412
1.595161,17,1408.474072
2.861851,32,1422.885901
4.746142,69,1450.886716
4.420535,43,1467.579574
3.20449,34,1480.991852
3.598748,33,1494.482024
2.283509,20,1502.399225
2.779396,39,1517.591241
2.360259,28,1529.696925
3.948927,54,1551.361385
1.948194,29,1563.59939
2.431873,30,1576.219971
1.846221,22,1585.407214
2.99514,39,1602.607566
3.088465,36,1618.080664
2.525395,38,1633.701026
3.025017,37,1648.801313
