# {"t_start": 1768293732.425888, "env_id": "PctContinuous-v0"} 
r,l,t
1.810757,17,5.712086
2.477572,36,20.551238
3.02068,38,38.825494
0.627964,9,42.044971
1.948194,29,55.124138
3.377232,41,71.930835
3.588395,43,90.235216
1.741002,22,99.243394
0.683874,10,102.829887
3.172753,48,121.609204
3.112214,38,138.31198
3.129101,42,156.044954
2.723289,30,167.611605
1.182038,15,173.513913
3.113932,40,188.339827
1.324532,14,193.844941
2.101078,29,205.160025
3.795707,46,223.051033
3.978889,53,246.53194
3.175181,40,265.84299
2.933446,31,278.34173
2.446704,38,295.320338
2.591692,31,307.739297
2.404369,32,320.441787
2.663301,32,334.125421
0.602112,7,336.931973
3.75709,47,358.121984
3.591471,38,373.944302
3.387251,45,393.343369
0.900682,9,396.531753
3.588489,43,413.113313
3.951216,45,430.433958
2.467932,28,440.472078
3.679173,46,458.053204
3.127073,45,475.247685
3.486207,47,494.343817
2.512585,36,509.920774
4.018852,51,530.462983
3.196459,42,547.535764
4.152998,48,567.731941
2.259259,30,580.634787
1.607661,25,591.037143
3.90836,51,611.732147
3.451133,54,634.674932
3.887706,40,651.132253
3.975921,48,673.018578
2.716749,31,685.619047
2.348511,34,699.545331
4.420535,43,716.924989
3.066211,32,730.139801
3.352308,31,742.429763
2.283509,20,749.914322
2.003156,29,761.418719
2.112949,25,770.147473
3.674477,50,790.936405
1.948194,29,802.631191
3.437524,42,820.058106
2.687372,33,832.928663
3.273304,44,852.147394
3.546811,40,868.936738
1.469829,23,879.209376
2.176869,26,889.914303
3.528213,46,908.417749
3.415875,38,923.879514
2.597337,31,936.946939
3.782289,50,956.344072
3.5156,40,972.237273
3.498595,49,993.762744
3.673618,45,1012.843178
2.694963,35,1027.159202
1.190174,19,1034.242382
2.306009,27,1045.746139
2.244792,36,1061.259887
3.474456,46,1081.038257
3.040296,38,1096.745053
2.797819,33,1110.644468
3.619768,41,1127.335682
2.255241,30,1138.937861
2.134429,22,1146.736125
0.512498,8,1149.621853
3.129764,29,1160.549612
3.588489,43,1176.640021
3.225735,37,1191.643276
3.952963,39,1206.619589
3.539231,44,1224.968273
0.309615,5,1226.619017
2.2358,30,1239.525456
2.377469,33,1253.927971
2.314684,30,1266.443056
3.430817,44,1284.611043
2.931717,32,1298.334535
3.953338,51,1319.03581
1.607661,25,1329.62193
3.017534,37,1344.728418
2.881733,43,1362.649537
4.081237,42,1378.976827
3.975921,48,1397.525281
1.266403,16,1403.636483
2.348511,34,1419.644788
3.966993,39,1435.332709
4.105897,49,1455.263727
4.058538,39,1470.44008
3.17572,28,1481.517531
0.470102,8,1484.429359
2.598362,32,1497.831714
2.813888,37,1512.548511
3.643484,57,1535.56727
3.377232,41,1552.513133
1.891917,23,1562.053855
0.749122,11,1566.192008
2.911418,35,1581.223278
2.246075,33,1595.161386
2.384549,28,1607.941915
2.931953,38,1623.835227
2.165194,25,1634.025344
2.362469,29,1646.042036
2.930679,38,1661.510853
4.087826,45,1680.028733
3.078448,43,1697.549181
3.995973,49,1718.315647
2.76215,36,1732.937731
3.291021,42,1751.850957
3.805448,42,1770.01633
3.046689,45,1789.023458
0.871358,11,1793.543386
3.700012,51,1814.465385
2.313867,26,1825.158592
1.227641,11,1829.513602
3.629302,45,1847.814025
4.417212,47,1868.246553
2.541495,33,1881.518832
4.268242,45,1899.116057
3.155836,39,1914.552533
2.696289,33,1926.142811
4.295063,42,1942.536896
4.905664,61,1965.929297
4.458968,62,1989.532684
4.011985,57,2012.2751
2.512585,36,2026.626106
3.269579,42,2044.335231
3.046034,41,2061.016514
1.887484,23,2070.240499
2.020643,27,2080.824679
3.802845,57,2104.013995
3.135526,40,2119.910717
2.923476,44,2138.739595
3.751039,39,2154.226482
2.273374,25,2163.928784
2.468752,28,2175.632557
3.423826,48,2194.753403
3.421809,33,2206.509476
1.452574,15,2211.932045
4.855927,49,2232.030106
4.52676,44,2248.215284
4.150882,59,2272.115499
2.821706,36,2286.015906
1.698806,23,2294.632523
2.384789,36,2308.825284
3.109701,38,2324.558907
2.463005,30,2335.258332
3.757627,50,2352.858417
3.870509,43,2368.525398
4.050988,62,2392.721148
2.446531,29,2404.864692
4.818701,57,2428.036313
3.285665,37,2441.930032
4.457233,53,2462.336475
4.728371,59,2485.926326
3.916455,43,2503.250132
4.195057,57,2526.33896
5.05102,61,2551.942339
3.418257,45,2570.736881
3.72288,47,2589.923501
1.9222,23,2599.324716
2.027737,32,2612.257501
1.552428,18,2619.339858
3.700012,51,2638.6787
3.467042,42,2654.012779
2.965538,32,2666.714735
2.751061,34,2679.451138
3.271568,34,2693.110094
0.512498,8,2696.331483
1.373667,13,2700.221622
3.527157,42,2716.339854
4.448263,49,2735.817559
4.105395,40,2751.263572
4.493704,57,2774.350806
2.347192,34,2788.24815
4.078923,58,2810.509944
2.512585,36,2824.660459
3.08542,39,2839.35525
2.773112,36,2853.733392
4.319144,49,2873.453289
0.89232,14,2878.635199
2.65665,43,2895.809234
2.887217,35,2909.34019
2.923476,44,2926.733088
2.49859,24,2935.249502
3.298611,36,2947.828069
3.780938,43,2964.943176
1.268137,20,2972.415452
4.623502,45,2989.219697
5.480239,64,3014.534122
3.849657,38,3029.716037
3.369078,30,3042.15575
3.614118,50,3061.642525
1.895544,22,3069.519502
3.100361,41,3085.246565
0.890847,14,3090.148295
0.586075,7,3092.521957
3.678118,44,3110.934316
1.870874,24,3119.625055
5.013792,55,3140.935983
1.78628,27,3151.238291
2.494451,30,3163.038085
3.056794,41,3179.012603
2.165194,25,3187.925616
4.457233,53,3208.223984
1.56419,22,3217.330111
3.669262,41,3233.922141
2.156095,30,3248.037206
1.345894,18,3255.91667
3.978889,53,3276.21134
3.555034,45,3295.047647
2.193517,25,3304.433538
4.768104,66,3330.241818
3.728303,50,3350.561223
4.526329,61,3374.320283
3.356811,41,3389.849529
0.602112,7,3392.309203
1.708183,23,3401.54295
3.271568,34,3414.920066
2.735656,36,3429.134266
2.072987,19,3436.555315
3.527157,42,3452.821195
3.837115,43,3470.3336
4.378274,43,3486.924196
2.776706,35,3500.433217
2.443291,35,3513.734347
3.285062,44,3530.241539
2.512585,36,3543.732975
2.368299,32,3555.758221
4.537391,57,3578.523256
3.019318,33,3592.243969
4.689096,57,3614.807884
1.607661,25,3625.432712
