# {"t_start": 1768293732.4680898, "env_id": "PctContinuous-v0"} 
r,l,t
3.826371,36,13.168148
2.779396,39,32.039325
2.712896,35,46.370565
2.446248,32,60.982877
1.744264,26,70.982887
2.874514,35,86.294215
2.203388,28,97.601394
0.793687,12,101.893815
1.147224,16,108.183169
3.067534,47,127.693926
2.384549,28,139.496023
1.606991,22,148.600517
3.252179,36,163.470032
2.492935,30,175.099454
2.579657,33,187.219873
1.377618,15,193.215156
3.88059,53,213.510968
1.445078,20,221.287132
3.906899,52,244.38076
3.72288,47,266.600694
1.9222,23,275.678658
3.114024,46,296.496176
3.646232,48,315.595614
2.249953,31,327.69204
3.836093,49,349.673059
3.32538,36,365.368372
3.629302,45,383.692908
2.429307,24,394.468192
3.305338,44,411.364877
4.180146,44,428.288594
2.973929,38,441.671001
2.830966,34,454.983367
3.633883,36,468.274223
1.856856,20,476.106928
2.347192,34,490.301913
3.597023,48,510.787411
2.512585,36,524.701873
0.463249,7,527.678124
2.32999,30,540.739208
1.887484,23,549.809177
3.80512,49,570.113769
3.579578,54,593.200578
4.332431,58,616.207612
3.948516,62,642.728721
3.545028,36,657.965626
3.797964,45,678.376609
3.568542,40,694.906219
3.900728,55,717.141006
2.984751,30,729.204425
4.105897,49,748.498876
4.284641,43,765.002867
2.467407,21,772.885922
3.662501,51,794.21445
2.112949,25,804.119783
3.303374,45,822.677351
2.897898,45,841.014515
3.377232,41,858.77433
1.413207,18,866.093754
2.496036,33,880.689333
2.068463,26,890.996008
3.172753,48,910.669906
2.713417,34,924.209635
2.697623,34,938.304363
3.764384,40,954.410423
3.301919,37,969.295799
1.054247,14,974.306451
3.033981,34,989.572303
1.682541,24,999.473702
4.069776,50,1020.594009
3.418257,45,1037.871613
2.53903,33,1052.994405
3.474724,38,1069.284883
2.574763,39,1085.405819
1.71245,20,1093.810553
2.637362,34,1108.289968
0.743932,9,1111.700706
3.619768,41,1128.375686
3.111726,38,1143.136781
1.79398,18,1149.392693
3.087495,40,1164.589127
3.25579,30,1175.524595
3.86292,45,1193.871091
2.830966,34,1206.579107
3.468009,35,1221.08974
3.741704,47,1240.683739
2.061209,30,1253.905311
2.606813,33,1267.592982
2.512585,36,1282.675341
3.269579,42,1300.285841
3.622649,45,1318.947687
2.202726,25,1329.305193
1.552257,22,1337.693797
2.036794,32,1350.610147
3.768687,49,1370.375699
1.573764,20,1378.80641
2.49859,24,1388.809012
3.654014,43,1404.99472
2.534675,29,1418.500956
2.615861,38,1434.328444
3.966993,39,1449.984575
2.759205,29,1461.689789
4.332821,44,1478.206266
2.940769,26,1489.08408
2.779396,39,1504.483708
3.674735,45,1522.504922
2.679712,35,1537.089512
4.251396,65,1563.773665
2.874514,35,1578.683981
1.496237,19,1586.502206
4.034675,53,1610.05131
3.672266,41,1626.883834
1.760391,26,1637.799208
1.820729,23,1647.389817
2.966995,39,1662.991388
4.102481,45,1681.771569
3.301919,37,1696.376644
3.113932,40,1713.292363
3.669262,41,1729.821673
2.663556,38,1747.542001
4.069776,50,1768.876906
3.906899,52,1791.101063
3.966589,49,1811.279691
2.933446,31,1823.574515
2.027737,32,1837.818135
3.15208,39,1853.307524
1.319676,20,1862.18326
2.936181,35,1876.427649
3.226487,35,1890.49024
1.708183,23,1899.19677
3.271568,34,1912.569881
2.144752,29,1922.379596
1.861062,17,1928.973404
3.354873,40,1945.122772
0.260377,4,1946.286307
2.467932,28,1957.104051
2.149027,25,1966.588318
2.347192,34,1980.291499
3.597023,48,1998.817164
2.512585,36,2012.383826
1.473826,20,2020.308645
3.6805,46,2039.482851
1.95512,24,2048.874312
3.558788,46,2067.791975
2.937587,46,2086.814748
2.505843,30,2098.06658
2.086314,30,2110.968281
4.477624,46,2130.150188
4.714847,57,2153.066512
2.995188,34,2166.515313
3.297569,46,2185.518451
4.420535,43,2201.995772
2.56531,27,2211.087843
4.5512,47,2230.167454
1.957844,18,2237.496487
3.709134,52,2257.326987
4.01298,47,2275.670682
4.120945,56,2297.649443
4.351633,66,2324.120563
2.228597,29,2334.49299
2.687372,33,2346.03967
0.680021,10,2349.597517
5.125153,57,2370.282476
1.78628,27,2380.59209
1.820729,23,2390.081633
1.331985,17,2396.883791
2.723289,30,2409.102751
2.492935,30,2421.398802
1.390271,19,2428.996104
4.343494,48,2446.77617
4.11909,56,2468.992605
2.061145,28,2480.809033
3.146903,40,2495.812251
1.554894,23,2505.371906
2.222534,26,2515.884821
1.809635,29,2528.016182
3.646232,48,2548.28861
3.149299,41,2565.187988
4.613732,61,2590.285674
3.868254,43,2607.670621
2.04634,27,2618.39482
2.953733,29,2629.618041
1.757175,25,2638.892537
4.554689,47,2656.069037
2.568882,33,2669.819524
3.542242,40,2684.193897
4.378274,43,2700.681345
4.583398,58,2723.312362
2.904656,42,2739.591343
1.229239,17,2745.994534
2.236125,30,2757.870306
3.269579,42,2775.001081
3.881522,49,2793.995538
3.648951,42,2810.596744
1.926412,26,2820.780517
1.879023,29,2832.775121
4.27006,57,2854.709846
2.923476,44,2872.079556
3.303453,33,2885.501163
4.943862,60,2908.567529
4.46949,52,2928.50577
3.423826,48,2945.498943
4.243484,41,2962.013531
2.888661,30,2973.107953
3.784368,37,2987.213575
2.860253,25,2997.392207
4.764934,68,3023.913653
3.674735,45,3042.08108
4.120945,56,3063.61581
3.189559,49,3081.995953
2.639881,32,3093.769349
4.519354,53,3115.406013
0.602454,9,3118.492105
3.546811,40,3133.983582
1.664697,25,3143.815332
2.713417,34,3156.696701
4.818701,57,3179.027288
3.252179,36,3192.51053
3.666066,42,3208.513614
1.516495,21,3217.112473
2.234325,23,3225.773731
2.364782,33,3241.380196
4.886215,59,3265.403932
4.404064,58,3289.176946
0.487363,12,3293.693677
2.933446,31,3305.396385
1.346429,21,3313.581577
3.728303,50,3333.397996
2.944412,37,3348.607178
3.087735,37,3362.072232
4.355183,50,3382.196061
3.75709,47,3400.374442
4.643516,49,3419.479051
3.087495,40,3435.196062
3.761723,39,3450.303933
4.071512,49,3470.298403
