# {"t_start": 1768293732.419786, "env_id": "PctContinuous-v0"} 
r,l,t
3.987395,38,13.944668
1.390097,21,23.521769
3.249082,40,41.843001
3.303374,45,61.598134
3.414034,53,84.07603
3.60201,44,101.341421
3.588395,43,118.13323
2.99514,39,135.121125
4.504714,48,154.933461
4.084236,63,180.03396
2.675752,33,192.193028
2.448691,31,204.032109
0.988281,14,209.259775
4.247648,50,229.881411
2.930679,38,246.624029
3.5156,40,265.742516
2.625536,37,280.974414
4.069776,50,302.83895
3.978889,53,323.321248
1.821005,27,335.622138
3.138398,34,350.640343
2.446704,38,366.916173
1.352587,16,373.64175
3.63477,50,394.944338
4.231964,56,416.235879
2.013649,21,424.537019
2.04634,27,434.638269
2.429307,24,442.746441
4.616343,61,466.220791
3.46328,35,479.439029
1.467345,21,488.420812
3.919476,44,507.730319
3.633883,36,521.380121
4.30342,55,544.156882
1.748506,26,555.446613
4.492218,65,582.821386
2.846887,37,598.048123
3.404375,43,615.227731
3.196459,42,632.92521
3.148448,35,647.619724
3.80512,49,670.156386
2.375358,37,685.323538
3.298424,44,703.465773
4.157497,65,729.529693
2.29527,22,738.534948
3.366407,37,752.645655
3.147861,36,766.130403
3.297569,46,785.321736
3.966993,39,800.642499
4.040688,48,820.565889
4.332821,44,838.368514
2.698424,23,848.44982
1.390097,21,857.635189
4.111287,48,877.616377
3.809628,51,898.85596
3.356554,52,919.883708
4.320475,54,941.722667
2.203388,28,953.149093
2.65291,36,967.872149
3.870509,43,984.975271
2.691999,42,1003.575024
2.531924,31,1016.46968
3.528213,46,1034.516546
1.015058,15,1040.838237
2.781557,32,1054.945715
2.930679,38,1071.426928
2.380306,25,1081.740449
3.170805,44,1099.820011
1.983383,27,1111.346915
3.260389,42,1128.686815
2.53903,33,1141.12521
1.9222,23,1149.240354
3.55526,52,1168.841834
3.304645,43,1186.106725
1.675132,24,1195.333252
3.356811,41,1211.476179
0.877722,8,1214.44145
3.75709,47,1234.038532
2.75632,27,1245.116836
3.305338,44,1264.771399
2.768986,27,1275.719029
1.735662,23,1285.120948
2.830966,34,1299.619881
3.633883,36,1313.531712
2.443413,30,1326.746666
3.679507,52,1347.216062
3.639088,49,1367.643053
1.930397,26,1378.256943
3.150256,41,1394.545702
2.511262,33,1407.667588
3.331606,37,1424.228411
2.200351,29,1435.984624
2.612617,42,1453.148243
1.869894,23,1461.934736
3.888612,61,1485.830926
3.545028,36,1500.85193
2.970084,30,1512.551148
3.035784,35,1526.953219
2.815429,40,1542.95388
4.243484,41,1559.740225
4.719449,56,1583.084094
2.229568,19,1591.14146
3.826371,36,1607.441587
4.150882,59,1631.749126
4.01298,47,1651.040918
2.963779,39,1667.040995
2.965938,46,1685.841738
3.078197,37,1701.459007
2.687372,33,1715.02043
2.309219,31,1727.758555
