# {"t_start": 1768293732.4797268, "env_id": "PctContinuous-v0"} 
r,l,t
3.17572,28,10.080855
1.5388,23,19.361644
2.112949,25,32.381259
4.52159,62,59.297149
0.890847,14,65.18205
2.228597,29,76.679056
1.496237,19,85.086682
0.879941,13,90.35828
3.296476,38,104.858326
2.55102,39,120.472471
2.713417,34,135.272456
2.343297,29,147.172633
1.630113,21,156.261548
3.035119,34,169.393976
4.131123,54,189.708626
4.343494,48,208.283158
3.498595,49,228.385726
3.795707,46,249.098495
2.027703,24,260.388584
1.053314,18,268.362014
1.773136,22,277.283541
3.880752,55,301.467237
2.119332,25,311.807909
1.289102,19,318.971431
2.497702,29,331.405704
2.965538,32,344.760832
1.491098,19,354.20867
3.271568,34,367.864207
3.448299,46,387.478312
1.5204,15,393.905847
3.588489,43,410.341574
2.203281,26,420.77941
3.633883,36,434.152629
2.40719,29,444.511549
2.805104,40,460.003927
0.821691,12,464.18435
2.512585,36,477.760462
3.957382,50,498.964385
2.612675,34,513.5809
4.152998,48,533.094565
4.360137,54,555.376996
1.817378,28,567.009238
2.74691,34,581.702508
1.049742,14,586.978447
4.477624,46,605.353849
2.889313,29,617.375226
2.947938,33,631.906517
3.900728,55,654.982916
3.752172,37,672.091449
3.382735,37,687.265263
2.416033,22,696.395427
3.748629,35,710.592163
1.22599,19,718.180321
3.60846,44,736.182965
1.994373,26,746.369075
0.555396,11,750.285972
1.794372,22,758.798907
1.413207,18,765.48782
3.098809,41,782.466086
2.911418,35,796.478597
3.359868,50,816.805963
2.713417,34,830.272127
2.509095,32,844.076402
4.226446,46,863.622187
2.362469,29,875.896566
3.113932,40,892.479193
3.882376,42,909.903387
2.364782,33,923.300939
2.728004,35,937.580631
1.112617,13,942.661928
2.88939,37,957.226161
1.204789,14,962.871029
0.915799,16,969.487075
1.184308,14,974.707783
1.767563,25,985.568906
1.959485,22,995.376026
3.396954,37,1011.042404
1.826304,25,1021.60788
3.271568,34,1034.480507
1.757175,25,1045.182657
3.002522,28,1057.183993
3.588489,43,1075.728667
3.542242,40,1092.191178
3.403474,34,1106.886125
3.741704,47,1126.096945
2.715983,39,1141.292555
3.597023,48,1158.622049
2.480366,35,1171.961754
4.018852,51,1191.669691
3.046034,41,1207.983421
2.931717,32,1221.056994
3.558788,46,1240.077469
3.579578,54,1263.673201
3.135526,40,1279.992914
3.398625,53,1302.498191
1.767062,16,1309.085207
2.334034,26,1319.482116
2.308003,27,1330.860138
3.297569,46,1348.993083
4.420535,43,1366.558746
1.452574,15,1372.589314
2.75458,26,1383.396202
4.154129,39,1398.1459
4.015569,58,1423.761122
2.112949,25,1433.889077
3.399518,46,1452.480366
1.88199,28,1463.972939
2.874514,35,1476.674847
3.588395,43,1494.374677
3.543762,47,1513.304433
3.296476,38,1528.671945
1.760391,26,1539.374701
2.675752,33,1552.982753
1.606991,22,1561.879625
4.226446,46,1581.138592
3.47487,39,1597.597927
3.859614,51,1619.957906
0.726253,7,1622.771502
3.242406,45,1641.477598
4.069776,50,1661.997434
4.645328,60,1686.275237
3.360359,43,1704.117081
3.912651,43,1722.241201
2.446704,38,1738.794446
3.552019,47,1759.189296
4.051748,55,1782.316241
2.663301,32,1795.889527
3.71072,42,1813.240182
3.75709,47,1832.56521
2.915962,28,1843.965992
3.387251,45,1863.558953
2.215398,21,1872.082538
3.86292,45,1890.192925
3.919476,44,1906.890381
4.712143,46,1923.564939
3.206018,41,1939.875329
3.533524,50,1958.839849
3.770736,52,1979.555079
2.870385,38,1993.773075
4.018852,51,2013.572796
4.249769,53,2034.982705
2.359717,26,2046.068352
3.443545,45,2064.189703
2.17211,34,2078.083285
3.454416,47,2096.44053
2.086314,30,2109.282556
2.375907,23,2118.072462
4.464061,53,2140.70608
3.147861,36,2154.969282
3.297569,46,2173.674803
3.752172,37,2188.358785
2.270127,26,2198.263967
1.330935,15,2203.660644
3.295578,29,2214.38104
4.296481,61,2239.006997
2.689731,34,2251.771903
