# {"t_start": 1768293732.4943209, "env_id": "PctContinuous-v0"} 
r,l,t
3.934437,37,13.678364
3.470896,48,36.383417
4.602278,52,58.353769
2.124504,28,69.658397
2.594785,39,86.852344
2.431873,30,98.762627
1.983305,25,108.074181
2.853918,38,123.065558
2.802064,34,138.4109
3.172753,48,158.154936
1.963388,25,167.678464
2.966995,39,183.005176
3.415875,38,196.854266
3.800091,44,214.264987
4.131123,54,236.661335
3.5156,40,254.965306
3.88059,53,278.771701
4.492361,54,302.591474
2.027703,24,312.075772
3.175181,40,327.865248
1.204789,14,334.281839
1.346429,21,343.140549
2.07424,24,354.594377
3.779777,53,376.303875
2.797819,33,390.644603
3.226487,35,404.251801
3.282724,41,420.466259
2.429307,24,429.253172
3.087495,40,443.650792
2.768986,27,454.474879
2.113224,27,464.298587
3.346332,39,478.96816
3.027431,31,492.161009
4.653543,59,516.444363
2.061209,30,529.249449
1.345297,18,537.162282
2.512585,36,551.270573
4.33467,53,573.347975
3.755571,47,593.698401
3.148448,35,607.145971
1.926412,26,617.75631
2.375358,37,634.045287
1.499065,19,641.77204
3.398625,53,665.369451
4.151721,43,683.141574
3.797964,45,702.177129
3.623656,41,718.479408
4.32539,62,743.471415
4.623502,45,760.745224
3.58402,40,776.262028
3.849657,38,791.769249
4.412195,42,808.865354
2.540846,37,824.194081
2.049972,24,833.686599
3.948927,54,856.849813
1.948194,29,868.871329
2.639881,32,882.962691
1.496237,19,890.652802
2.544415,34,904.29407
2.802064,34,917.877817
3.172753,48,937.970509
2.531924,31,950.396744
3.416501,44,968.075641
4.102481,45,986.449085
3.933562,46,1006.460391
2.930679,38,1022.347566
2.483726,26,1032.467799
3.170805,44,1051.371182
4.390727,53,1073.755194
3.906899,52,1095.484931
3.175181,40,1112.09866
3.67151,40,1128.587927
3.47989,51,1147.46079
3.474456,46,1164.876378
1.675132,24,1173.772764
4.553317,60,1197.562724
1.314606,12,1201.959542
2.499975,33,1215.359383
2.429307,24,1225.054633
3.033563,39,1241.274816
4.092945,43,1260.363737
1.88145,25,1270.351252
2.294668,28,1282.16511
1.873614,20,1290.789953
3.872527,49,1310.575293
0.685617,12,1315.362652
2.606813,33,1329.646481
2.973905,40,1345.594694
3.08542,39,1362.192104
2.612675,34,1375.284175
3.751491,43,1392.652838
3.953338,51,1413.560044
2.612617,42,1431.175316
3.222639,42,1448.166943
2.138882,31,1460.747284
2.49859,24,1469.945379
4.116736,49,1489.365353
2.308003,27,1500.57462
1.950303,29,1511.943415
3.966993,39,1527.781624
3.20449,34,1541.645123
3.849657,38,1557.481328
5.049335,50,1578.175966
1.390097,21,1586.86317
2.598362,32,1601.189601
2.813888,37,1617.250428
1.676571,25,1627.344301
3.946718,48,1647.242886
3.588395,43,1664.557599
2.801115,37,1680.177826
3.444715,39,1695.35645
2.321192,34,1709.959509
2.713417,34,1724.215613
2.231662,27,1735.865216
4.48613,47,1756.253242
4.713841,55,1779.744399
4.389256,56,1802.85215
3.033981,34,1816.856097
4.11909,56,1840.880216
0.754467,10,1844.344285
3.30372,44,1863.363626
2.373888,31,1875.971896
2.193517,25,1885.944655
2.980036,44,1903.061182
3.265489,41,1918.517925
2.093044,29,1928.853655
2.567825,31,1941.384231
2.965538,32,1953.655953
2.499975,33,1966.166003
2.134429,22,1975.257035
3.902593,51,1994.558571
4.268242,45,2011.878155
3.86292,45,2030.595866
2.203281,26,2041.456298
4.105395,40,2057.850171
3.106435,39,2073.567617
3.362937,49,2092.66786
2.941684,38,2108.583966
1.361731,18,2115.347331
3.957382,50,2136.599331
4.420094,56,2158.448287
3.503897,40,2175.177201
0.74405,12,2180.067942
2.315697,36,2194.240957
1.869894,23,2202.973518
1.894317,26,2212.064108
1.767062,16,2218.349571
4.368092,52,2239.158605
3.780938,43,2255.5189
1.770028,25,2265.664265
4.623502,45,2283.333833
3.58402,40,2298.779336
4.332821,44,2315.970448
4.621738,45,2333.410697
4.015569,58,2353.758148
4.01298,47,2371.07216
3.303374,45,2388.871914
3.99635,62,2414.449015
4.243138,52,2434.4494
1.413207,18,2441.471335
2.021925,26,2450.954417
2.911418,35,2465.089449
3.614307,55,2487.454007
3.025017,37,2501.768553
3.528213,46,2520.448515
4.698554,50,2541.162993
0.515231,8,2544.761365
4.939313,62,2570.54156
2.234325,23,2580.154099
3.965145,55,2602.457974
5.322129,65,2628.020879
3.817246,50,2647.042582
2.53903,33,2658.844973
2.535471,29,2670.516251
4.733378,65,2696.087156
1.184308,14,2700.2522
4.710788,64,2725.024359
4.613732,61,2749.270545
3.226487,35,2762.568073
1.90334,26,2773.650413
3.446033,36,2787.958683
3.226875,42,2804.168927
3.46328,35,2817.665007
4.46563,53,2837.961806
4.448263,49,2857.333754
3.952963,39,2873.25521
3.679173,46,2891.687565
4.14499,57,2913.55918
3.770736,52,2933.355295
1.930397,26,2942.573256
3.404375,43,2959.465396
4.537391,57,2980.321401
4.785221,54,3001.545212
3.299375,43,3018.376078
4.184769,60,3042.552627
1.869894,23,3051.55891
3.451133,54,3072.183104
4.477624,46,3089.224894
4.116736,49,3109.360123
3.780938,43,3125.344646
1.884001,28,3136.271191
4.894409,47,3154.249923
2.56531,27,3164.945302
3.784368,37,3179.274061
5.049335,50,3197.934395
2.882144,40,3213.766176
2.508625,31,3226.068174
4.810032,66,3255.37388
3.448895,54,3276.493062
2.639881,32,3289.946642
3.504809,42,3305.746689
2.309219,31,3317.843163
5.388585,59,3341.539423
2.769273,43,3357.987413
3.112214,38,3373.460764
2.509095,32,3385.444053
4.48613,47,3403.75274
2.362469,29,3415.379431
1.56419,22,3423.949218
4.569348,50,3443.067446
3.307227,46,3461.782352
2.061145,28,3473.290952
4.567289,59,3496.285027
2.373888,31,3507.875634
3.67151,40,3522.258162
2.980036,44,3539.36928
1.250778,15,3544.767398
1.548676,22,3553.052565
3.658297,45,3571.214361
3.71072,42,3588.152182
3.75709,47,3607.076257
1.197508,11,3611.567992
2.488569,32,3624.362965
3.328537,32,3636.382182
4.604591,54,3657.990326
3.225735,37,3672.156101
4.378274,43,3689.504136
4.653543,59,3714.255002
0.403243,6,3716.842462
3.639088,49,3737.272098
2.236125,30,3749.964254
1.592094,21,3757.847971
0.811711,12,3762.270795
3.825462,44,3779.479815
3.953338,51,3800.944855
1.998723,31,3812.783841
2.136253,26,3822.978992
1.721574,23,3831.551847
3.545028,36,3845.987461
3.797964,45,3864.492166
3.780938,43,3881.561796
1.354404,21,3889.847733
3.966993,39,3905.661221
4.528834,53,3926.879552
1.985501,18,3933.888166
3.826371,36,3948.766879
4.826681,69,3976.152167
4.111287,48,3994.241709
2.813888,37,4009.543802
1.346423,20,4017.45934
2.520903,31,4029.867129
3.588395,43,4046.053045
3.757627,50,4065.461352
3.761884,42,4082.672067
2.525395,38,4098.045219
3.412397,41,4113.072042
4.173734,50,4132.553229
3.415875,38,4147.775205
1.253116,16,4154.272184
3.859614,51,4174.579771
4.569348,50,4194.680498
2.101078,29,4206.641253
5.26218,64,4233.740475
4.760453,62,4257.307721
2.06151,29,4269.575546
4.304452,48,4289.122213
1.853747,30,4301.975224
1.250778,15,4307.748609
3.078308,39,4323.482301
2.313867,26,4334.305715
3.619768,41,4351.270265
0.673406,9,4354.063302
2.953733,29,4366.278989
3.087495,40,4382.162112
2.215398,21,4390.362955
4.46563,53,4411.456719
4.102004,46,4431.886675
4.482783,44,4449.361609
3.611951,45,4468.268506
3.767306,53,4490.38222
2.438406,32,4503.563132
1.761365,25,4514.345057
4.868743,60,4538.249079
1.294283,17,4545.341374
1.887484,23,4554.380089
3.80512,49,4573.058414
3.379864,52,4593.550442
1.869894,23,4601.96259
3.589946,57,4624.765637
4.389432,45,4643.642318
3.654014,43,4661.455718
1.266403,16,4668.248639
1.884001,28,4680.057992
2.303527,22,4688.771405
5.269661,62,4713.241638
3.849657,38,4728.149223
4.273262,40,4744.266107
2.540846,37,4759.135627
4.111287,48,4778.951247
3.674477,50,4800.150534
2.049203,30,4813.692852
4.320475,54,4835.967031
3.32749,40,4852.558527
0.602454,9,4855.971179
0.683874,10,4860.061723
1.175575,19,4867.758565
2.384549,28,4879.959026
3.528213,46,4900.392737
3.415875,38,4914.658424
3.301919,37,4931.163108
1.774512,25,4941.743458
1.468628,16,4947.864981
1.899465,27,4959.380234
4.560996,55,4982.870953
3.817246,50,5003.966113
3.72288,47,5022.655581
4.194855,47,5042.763198
1.711824,27,5053.790825
5.150406,69,5082.244366
4.640079,62,5108.891512
2.366227,27,5120.355183
4.672512,56,5142.141014
1.737545,24,5152.769296
1.874471,20,5161.36561
4.150625,54,5184.140441
2.30815,22,5192.956865
2.759857,36,5208.060347
