# {"t_start": 1768293732.3806343, "env_id": "PctContinuous-v0"} 
r,l,t
4.52676,44,16.176142
3.149504,44,37.407452
3.02068,38,53.677697
3.137337,42,71.223728
1.676571,25,82.302401
3.60201,44,99.864208
3.32749,40,115.694827
1.416704,18,122.4614
3.546811,40,139.969913
3.359868,50,160.775044
4.289704,51,180.740281
1.380655,18,186.756173
3.195424,35,200.177482
4.457233,53,220.868665
2.058406,27,232.566908
4.255301,47,253.667667
3.078448,43,273.460749
3.673618,45,293.091238
1.024077,12,298.356063
3.640595,46,316.76067
1.49939,19,323.98997
1.424936,22,333.997971
3.728303,50,355.971013
4.526329,61,381.36629
2.797819,33,395.67815
2.965538,32,407.887607
3.520665,44,424.774109
3.164365,32,436.77857
3.387251,45,453.798342
3.648495,37,467.389231
2.632607,34,480.589165
2.066502,24,490.785005
2.876799,30,503.469221
2.054222,23,513.261238
0.309615,5,514.96552
3.022397,40,531.669169
1.600053,21,540.373775
2.368299,32,553.585153
3.430817,44,571.081449
2.563416,30,584.584906
3.678795,47,603.673837
3.802845,57,626.77033
2.887217,35,642.061156
2.138882,31,655.1001
2.49859,24,666.384825
3.412681,38,682.080915
2.716749,31,695.289343
3.582081,51,715.875291
5.451669,53,737.213256
1.452574,15,743.070114
4.332821,44,759.975683
1.359156,14,765.385713
1.188488,18,772.108243
4.01298,47,791.472759
3.100361,41,808.426648
2.718774,42,825.60109
3.946718,48,845.468822
2.687372,33,859.580397
1.870874,24,869.487509
3.870509,43,888.051838
3.359868,50,908.286227
1.963388,25,917.955038
2.931953,38,933.988397
2.165194,25,943.984596
3.255735,36,958.08288
1.230231,17,965.484058
3.369545,38,980.291632
2.000901,28,992.971114
4.560996,55,1015.977221
4.760453,62,1040.573102
2.698961,34,1055.772788
2.535471,29,1068.396914
1.809635,29,1080.799025
2.437155,29,1092.181568
2.846919,36,1108.068393
1.530235,18,1114.678311
3.32538,36,1129.778398
0.962294,13,1134.787882
1.492656,15,1140.271048
2.735656,36,1153.464098
4.554689,47,1171.176209
3.386706,41,1187.228275
2.830966,34,1200.36225
0.999628,12,1205.262287
1.352141,15,1211.178268
3.297813,48,1231.303462
3.7107,51,1252.879562
1.67235,23,1262.88968
3.404375,43,1280.59856
1.694027,21,1289.609087
3.148448,35,1304.277162
1.025376,16,1310.391602
3.579578,54,1332.889381
2.74691,34,1346.394754
2.510544,37,1362.18186
2.69981,26,1371.765445
3.975921,48,1391.582762
3.035784,35,1404.760914
3.297569,46,1425.697431
3.966993,39,1440.473788
3.623822,41,1457.976819
4.332821,44,1474.702579
3.295578,29,1486.273964
4.150882,59,1510.056691
2.508625,31,1522.476418
1.698806,23,1531.875004
2.680847,41,1548.681529
3.377232,41,1565.585632
2.687372,33,1579.48388
2.588871,35,1594.269203
3.870509,43,1613.078498
2.246075,33,1627.210933
1.963388,25,1637.277187
3.056794,41,1653.88671
3.084193,34,1667.891419
2.781557,32,1681.389542
4.131123,54,1703.062368
3.033981,34,1718.098253
3.88059,53,1740.859896
2.061145,28,1752.692722
2.220727,26,1764.195192
1.554894,23,1774.198464
2.306009,27,1785.077332
1.853747,30,1797.39955
2.258098,27,1808.990707
4.051748,55,1831.220645
1.642995,19,1839.868344
0.266138,5,1841.560224
