# {"t_start": 1768293732.413691, "env_id": "PctContinuous-v0"} 
r,l,t
3.295578,29,10.4583
2.187442,32,24.436703
4.01298,47,45.424425
3.100361,41,63.987985
2.594785,39,79.838261
3.377232,41,96.85554
4.110346,50,116.218498
2.496036,33,130.651849
3.672266,41,147.134095
3.614307,55,169.48541
1.963388,25,179.446953
3.010364,40,194.152398
3.285665,37,208.330626
2.362469,29,219.750454
3.113932,40,236.726447
3.033981,34,252.243392
2.101078,29,266.650766
2.061145,28,277.933633
3.260389,42,297.038928
3.291021,42,313.555299
3.67151,40,329.853687
2.864944,42,348.381052
2.729568,33,362.965114
2.846919,36,377.951037
3.467042,42,395.676925
2.965538,32,407.728586
1.826304,25,417.550513
1.302017,12,422.135389
2.541495,33,434.755969
2.768986,27,444.051407
3.588489,43,460.433202
1.318097,18,467.458362
4.105395,40,482.843486
4.493704,57,507.614854
3.184151,46,525.755922
2.299066,31,539.241293
3.226179,43,556.755211
3.740864,47,576.07982
4.097276,50,597.137046
4.112315,47,615.950709
3.558788,46,635.66208
2.17211,34,649.877054
3.222639,42,669.344044
2.733646,41,686.237538
3.751039,39,702.033685
3.590286,42,718.94577
2.584675,30,731.15372
1.950303,29,742.851611
3.966993,39,757.186054
3.664824,42,773.732551
3.784368,37,789.343075
3.570157,33,802.221623
3.519904,49,822.726922
2.508625,31,835.061758
0.585574,8,838.135077
1.346423,20,847.239809
3.078197,37,863.221114
1.363651,17,869.859182
3.757627,50,891.048045
2.068463,26,901.53536
1.882691,28,912.663153
1.963388,25,923.137869
1.885453,24,932.960038
2.258388,26,943.6691
1.182038,15,949.641078
3.729649,49,969.464966
3.369545,38,984.759453
2.156095,30,998.048274
4.069776,50,1018.826616
1.935023,22,1028.127272
1.974225,28,1038.343538
3.70833,41,1056.428768
1.761816,28,1069.058201
1.250778,15,1075.13557
2.944412,37,1090.123636
4.326061,57,1113.838328
4.355183,50,1134.254055
2.04634,27,1144.45653
2.915962,28,1154.350773
3.087495,40,1169.983284
2.30815,22,1177.730712
2.759857,36,1192.321025
3.346332,39,1207.553793
3.358568,33,1221.380196
4.185819,53,1242.830447
2.600752,37,1259.737589
3.285062,44,1277.770768
2.236125,30,1290.146646
2.461617,34,1304.643651
3.622649,45,1323.0307
4.112315,47,1342.335299
2.985666,38,1357.549923
3.990449,59,1380.901147
1.957973,24,1391.155502
1.894317,26,1400.849535
3.751039,39,1418.036288
2.782389,28,1429.635289
2.534675,29,1440.841018
4.372967,63,1466.744699
4.309922,42,1482.847911
2.759205,29,1494.83788
4.058538,39,1510.453479
3.987395,38,1525.895555
3.108462,43,1543.335306
3.02068,38,1559.050227
0.627964,9,1562.670789
0.555396,11,1566.850156
3.60201,44,1585.627038
2.687372,33,1600.036314
3.543762,47,1620.448901
2.802064,34,1634.645061
2.589881,40,1650.736969
1.820729,23,1660.047332
0.585203,7,1663.038275
4.102481,45,1681.9289
2.012479,26,1691.544104
1.390271,19,1700.160988
4.427499,49,1720.827262
2.9099,41,1738.442938
5.05102,61,1764.836661
3.30372,44,1783.464706
2.53903,33,1797.055226
1.9222,23,1806.541577
1.088405,18,1814.044739
1.828864,22,1822.965085
0.687242,9,1826.528441
3.233152,39,1843.078004
2.520986,27,1854.223279
3.629302,45,1873.356091
4.365744,46,1891.758979
1.689878,24,1900.841229
3.894964,41,1916.440148
3.770388,44,1932.546243
3.728774,42,1948.827312
3.358568,33,1961.742584
3.539231,44,1979.263422
2.87124,41,1994.669148
2.980365,39,2009.895572
2.236125,30,2021.447195
3.508642,44,2040.249794
1.45991,19,2047.445799
3.019318,33,2061.444433
2.567866,32,2074.45454
1.659353,26,2084.822905
4.27006,57,2107.860337
4.157497,65,2134.550492
1.187798,12,2139.441196
3.975921,48,2158.355053
3.402511,38,2174.135305
2.27081,33,2187.474103
4.21578,40,2202.777579
4.105897,49,2220.875819
1.139149,13,2226.451923
3.826371,36,2240.346269
1.5388,23,2248.862135
3.674735,45,2266.793953
2.333427,30,2278.736255
2.718774,42,2294.754435
4.600265,57,2317.002253
3.107616,37,2331.943632
0.401816,6,2333.880125
3.870509,43,2348.836541
2.615722,41,2364.252648
3.468514,42,2379.433096
4.618203,54,2401.368424
4.226446,46,2419.936947
4.293258,51,2439.522691
4.131123,54,2460.536653
0.726253,7,2463.523185
4.943382,66,2489.952798
4.492361,54,2511.440439
4.404064,58,2535.439892
0.946148,17,2542.424945
1.648543,21,2551.653732
3.323627,48,2571.458789
4.554025,61,2596.521962
1.289102,19,2604.152511
3.356811,41,2620.532561
3.396954,37,2634.148605
2.123531,28,2645.523781
1.975146,21,2652.350039
4.150625,54,2673.541446
4.268242,45,2690.909889
2.911539,37,2704.175341
3.258704,38,2719.130488
4.558996,45,2736.933651
2.319606,27,2747.755605
1.609903,24,2756.964263
3.486207,47,2775.564267
2.512585,36,2789.953959
3.269579,42,2806.548277
2.222764,28,2817.469254
3.588726,41,2833.535338
3.029625,40,2848.648331
1.607661,25,2858.755338
4.48076,59,2882.232369
