# {"t_start": 1768293732.4052227, "env_id": "PctContinuous-v0"} 
r,l,t
2.940769,26,9.437569
3.33361,46,30.335619
0.483286,8,33.955241
3.674477,50,55.353125
3.785319,59,80.466435
1.963582,25,90.96612
2.687372,33,103.450334
2.383255,32,116.468653
3.870509,43,134.630638
0.464193,7,137.550782
1.390456,16,144.257276
3.056794,41,161.170402
4.48613,47,179.55456
1.326989,17,185.350797
2.058406,27,195.541504
3.5156,40,211.06055
3.307227,46,230.173865
4.390727,53,253.635183
3.906899,52,277.039982
2.698961,34,292.152984
1.9222,23,301.870421
2.070085,33,315.503182
3.304645,43,333.190957
3.738583,52,356.198865
4.16867,55,379.215559
3.582838,40,395.976337
3.43918,43,412.313907
2.953733,29,423.665857
2.144752,29,434.745567
0.305634,4,435.845538
2.113224,27,445.901469
3.728774,42,461.738069
2.545657,29,472.859677
3.679173,46,491.764795
2.904656,42,509.765908
0.571836,9,513.150016
4.166163,56,536.136088
1.592094,21,544.372167
2.899375,38,560.681167
3.648951,42,577.638673
1.164177,18,585.544919
2.375358,37,600.85345
0.298966,7,603.444727
3.888612,61,628.451022
2.998427,29,641.05615
4.943862,60,667.846518
4.23753,49,687.970836
2.478561,36,703.056074
3.966993,39,718.400111
4.105897,49,738.444546
3.784368,37,752.66476
2.537131,22,761.346623
4.150882,59,784.933075
4.01298,47,803.517651
3.238849,44,821.838544
1.835504,27,832.358269
3.109701,38,848.872249
2.88906,35,863.837358
3.871679,51,885.535315
3.444715,39,901.153382
1.78628,27,912.069016
2.96032,36,926.874308
1.606991,22,936.035501
2.258388,26,946.350199
3.301919,37,960.969572
4.131123,54,982.613844
4.343494,48,1003.852346
1.899465,27,1015.135602
1.64741,23,1024.754369
2.421129,30,1036.136447
3.555034,45,1055.764561
3.333136,37,1071.747401
2.070085,33,1085.479883
0.871358,11,1089.60315
2.404369,32,1103.266042
2.152153,25,1113.738716
3.32538,36,1128.46442
3.282724,41,1144.142479
3.164365,32,1155.663351
2.913665,38,1170.270098
1.861062,17,1176.364408
3.86292,45,1194.743824
4.966383,54,1215.533472
4.558996,45,1234.266388
3.539231,44,1253.593807
3.184151,46,1272.859812
3.486207,47,1292.346913
1.930397,26,1303.431226
2.857571,38,1318.831839
2.511262,33,1332.564257
3.331606,37,1346.97315
3.558788,46,1366.160648
1.528321,24,1375.85842
1.957973,24,1385.360718
3.530068,56,1407.675444
3.545028,36,1424.066334
3.247697,35,1437.773783
2.995188,34,1451.953446
3.423826,48,1470.369649
3.966993,39,1485.632132
4.105897,49,1505.246213
3.598748,33,1518.48921
3.686467,34,1532.770798
2.149183,31,1545.465729
4.01298,47,1564.639223
3.017579,40,1581.736285
1.210718,18,1588.753044
3.377232,41,1607.65412
1.957381,24,1617.748928
2.801115,37,1632.785249
0.683874,10,1636.939872
2.880894,45,1655.173685
2.713417,34,1668.735155
2.746743,35,1683.567895
4.226446,46,1702.397039
3.47487,39,1719.371988
3.113932,40,1735.856852
1.468628,16,1743.15186
4.544511,62,1769.839607
1.630666,22,1779.360813
2.694963,35,1794.058834
3.360359,43,1811.951749
2.222534,26,1822.169806
2.070085,33,1836.260402
2.969534,36,1850.746835
4.051748,55,1874.25859
3.356811,41,1890.667726
3.226487,35,1903.858909
3.629302,45,1920.261201
1.79398,18,1927.257133
2.735656,36,1941.361277
2.30815,22,1949.456899
2.632607,34,1963.169657
2.203281,26,1973.531588
3.358568,33,1985.280692
2.690825,34,1999.138523
1.83441,27,2009.265133
2.299066,31,2021.543357
0.676018,11,2026.262921
3.404375,43,2044.251287
3.196459,42,2061.462844
4.319144,49,2080.973223
4.689096,57,2104.025286
4.418817,61,2129.339251
4.085323,54,2151.35384
0.976831,13,2156.255577
3.422902,34,2169.750783
2.782389,28,2181.630654
2.534675,29,2192.648684
1.268137,20,2200.748595
3.966993,39,2214.247476
4.719449,56,2237.233081
4.855927,49,2255.591543
3.686467,34,2269.573334
2.477572,36,2283.564835
3.50821,43,2299.86428
0.627964,9,2303.341907
4.351633,66,2329.760537
2.775138,33,2341.044388
1.363651,17,2347.149932
2.65291,36,2360.536899
3.546811,40,2374.659675
4.215226,65,2401.299097
2.176869,26,2411.855863
4.173734,50,2431.476008
3.252179,36,2445.381851
2.959322,33,2458.058117
4.131123,54,2479.863559
1.839673,20,2487.746996
4.544511,62,2511.984475
4.739305,57,2535.843186
4.946783,64,2562.43
1.63343,24,2572.647108
3.67151,40,2589.24114
2.244792,36,2603.862951
3.284971,42,2620.696972
4.051748,55,2641.433517
2.863216,34,2653.551233
0.322996,6,2655.556705
2.433682,32,2669.047531
3.271568,34,2681.160821
4.048808,53,2701.151091
4.268242,45,2718.648602
1.178676,18,2725.967487
3.225735,37,2740.151171
3.027431,31,2752.349929
4.252368,54,2774.450533
1.748506,26,2784.757898
3.639088,49,2803.880114
1.152884,15,2809.441214
4.868743,60,2833.222363
4.197404,52,2853.45628
1.23271,13,2858.346053
2.704188,34,2872.253861
2.229752,35,2886.559345
3.454416,47,2903.751773
2.510544,37,2918.977803
2.91815,28,2929.262322
3.298611,36,2942.265374
4.701489,54,2962.935084
4.32539,62,2986.631821
5.207823,51,3005.952544
2.56531,27,3016.729296
2.229568,19,3024.648209
4.971514,48,3043.969527
2.187442,32,3056.462934
2.821706,36,3069.846224
4.968313,70,3096.571949
4.061518,63,3121.152086
4.450139,55,3142.641526
4.110346,50,3161.856558
1.870874,24,3171.737607
3.296476,38,3185.33766
3.359868,50,3204.566791
4.352794,52,3225.243181
3.129101,42,3244.068712
2.258388,26,3255.467069
0.515231,8,3258.553785
5.254138,65,3284.450368
4.569348,50,3303.932475
4.488535,61,3327.953715
1.445078,20,3335.73404
3.817246,50,3355.479873
2.88939,37,3370.551187
3.67151,40,3385.434721
1.761816,28,3396.431034
3.15208,39,3412.098616
4.898857,66,3437.532071
3.836093,49,3457.089748
4.266549,49,3476.740034
4.118995,49,3495.640565
1.79398,18,3502.050143
2.670458,35,3515.440508
4.746689,50,3534.255182
1.580882,22,3542.757502
3.225735,37,3556.435777
2.180155,24,3566.143716
1.352141,15,3572.432635
2.443291,35,3586.755812
4.360984,63,3612.369836
2.512585,36,3626.385295
4.018852,51,3645.75289
3.622649,45,3664.258657
3.331606,37,3678.461331
5.137641,61,3704.147825
3.990449,59,3727.857186
3.768687,49,3749.06437
3.354426,52,3769.505241
3.422902,34,3781.930491
3.366407,37,3797.852173
4.081883,47,3815.856428
4.965219,72,3843.842198
4.623502,45,3862.348215
4.017898,47,3881.385561
4.855927,49,3900.647782
3.080857,27,3911.455236
1.685744,24,3920.659003
4.111287,48,3940.446172
4.885078,68,3968.460212
2.760292,43,3984.5364
2.874514,35,3998.330551
2.203388,28,4009.35549
2.021925,26,4020.469893
2.536105,31,4032.467327
1.882691,28,4042.754514
3.112214,38,4057.631782
3.129101,42,4074.252919
4.226446,46,4092.237699
4.713841,55,4113.343872
3.964362,52,4134.03089
1.733161,19,4141.454639
4.11909,56,4163.677392
4.069776,50,4184.445993
3.30372,44,4201.644121
