# {"t_start": 1768293732.480579, "env_id": "PctContinuous-v0"} 
r,l,t
3.455003,31,11.201017
2.882144,40,29.796197
2.712896,35,44.683506
4.562607,63,71.386609
2.965938,46,91.297286
3.865738,47,109.481715
1.687989,21,117.678559
3.098809,41,135.496916
4.504714,48,155.22088
3.461617,52,176.01391
4.169287,49,193.971635
3.528213,46,211.684401
3.415875,38,227.467024
3.47487,39,244.792939
3.113932,40,263.65665
3.033981,34,277.787211
1.298365,17,285.183661
3.299216,41,303.08868
3.418257,45,320.665421
1.821005,27,332.680345
1.9222,23,341.973441
4.330731,61,368.509283
3.646232,48,389.267802
3.242956,42,406.007273
2.863216,34,419.092037
2.013649,21,427.293808
2.04634,27,436.994642
3.271568,34,449.561368
2.202409,30,460.988912
2.600459,25,470.583869
4.071512,49,490.356167
3.346332,39,507.288135
4.857002,48,525.95205
2.054222,23,536.258549
2.347192,34,549.781706
2.783854,36,564.879696
2.236125,30,577.386996
4.018852,51,598.672507
3.622649,45,616.765584
1.552396,18,623.793745
2.801056,36,639.798921
2.480655,39,656.458976
3.391545,46,677.184539
3.244152,50,697.51296
4.305654,44,715.182291
0.932465,9,718.679109
2.584675,30,731.081221
3.953081,56,752.787447
4.623502,45,769.352955
4.105897,49,790.285826
4.5512,47,809.1633
4.412195,42,826.479215
3.470896,48,846.897833
2.395412,29,859.293432
2.813888,37,874.389244
2.453806,37,890.270062
3.865738,47,909.166148
1.687989,21,917.390687
3.757627,50,938.268693
3.296476,38,953.359367
3.067534,47,972.024942
3.285834,39,989.082729
3.129101,42,1006.993553
1.630113,21,1015.457739
0.419569,6,1017.955581
2.058406,27,1029.06538
3.5156,40,1045.271754
2.9099,41,1063.188337
4.069776,50,1084.188562
4.760453,62,1110.169477
1.63343,24,1119.181774
3.67151,40,1136.093343
3.217403,47,1152.991719
0.628694,9,1156.062286
1.675132,24,1165.570309
2.152153,25,1174.77703
4.266549,49,1194.489655
2.04634,27,1204.680228
3.591471,38,1220.119842
3.087495,40,1236.889594
4.180146,44,1255.980517
1.178676,18,1263.572371
2.830966,34,1277.57391
3.952963,39,1294.155396
3.679173,46,1312.471334
2.538917,36,1328.069882
3.351234,45,1346.023444
2.236125,30,1358.371182
2.12334,27,1368.973866
1.842533,24,1378.871131
3.331606,37,1393.960276
3.678795,47,1413.290568
2.65665,43,1431.31252
4.085323,54,1453.378273
2.316698,33,1466.488755
3.887706,40,1481.673238
3.797964,45,1500.279541
2.040106,24,1509.386169
2.940702,42,1526.92772
4.21578,40,1542.954806
2.888661,30,1555.393417
4.180229,41,1572.093251
3.686467,34,1586.597788
2.882144,40,1604.576236
2.598362,32,1618.063994
3.017579,40,1634.595098
1.576151,22,1643.680966
1.167466,13,1648.774368
4.519354,53,1669.974924
3.152074,42,1687.478239
2.911418,35,1702.184054
3.581335,54,1724.924033
3.412397,41,1742.921708
1.885453,24,1752.97495
3.415875,38,1769.273814
3.47487,39,1785.761082
4.131123,54,1808.184429
4.343494,48,1827.860029
3.170805,44,1845.964689
3.795707,46,1865.983135
3.978889,53,1886.967698
1.190174,19,1894.558038
3.242596,36,1908.504986
1.346429,21,1916.490758
3.728303,50,1934.878289
1.988132,27,1945.787786
4.553317,60,1968.694773
2.792739,30,1980.679859
2.123531,28,1991.112399
3.591471,38,2005.102654
3.851921,50,2025.986095
4.461316,46,2044.850742
3.155836,39,2060.971827
2.696289,33,2074.469255
1.99806,22,2083.192843
2.054222,23,2091.884347
3.362937,49,2112.081395
3.860143,53,2134.263813
2.512585,36,2148.567176
0.463249,7,2151.568374
2.400293,31,2163.463814
3.825462,44,2182.074794
1.855649,25,2191.272472
1.762232,27,2202.199417
3.252933,43,2217.70098
0.821986,11,2222.195112
4.151721,43,2239.11836
4.971004,61,2262.877843
2.716749,31,2274.996328
2.478561,36,2289.019428
4.420535,43,2305.900771
4.719449,56,2328.056919
1.139149,13,2333.001088
4.84215,46,2348.99902
1.188488,18,2355.287782
2.112949,25,2364.961125
2.446248,32,2376.076844
2.760292,43,2393.667984
3.865738,47,2413.183766
3.678118,44,2430.595994
1.971808,25,2439.808471
5.125153,57,2461.659398
2.321192,34,2475.768311
3.620949,43,2492.17679
3.010364,40,2508.709283
3.285665,37,2523.565117
4.713841,55,2546.827336
3.068419,39,2562.986639
1.229614,13,2568.686559
2.9099,41,2585.488335
5.322129,65,2611.564089
3.906899,52,2631.712596
3.291021,42,2647.58029
0.635744,8,2650.0682
