# {"t_start": 1768293732.4276137, "env_id": "PctContinuous-v0"} 
r,l,t
3.455003,31,11.259769
1.777709,25,21.924086
4.01298,47,43.225415
4.144502,57,67.82319
1.576151,22,76.991688
2.874514,35,92.010633
2.687372,33,104.529974
1.870874,24,114.434487
1.063192,15,120.030421
3.49441,53,143.058339
2.446531,29,155.038716
2.627156,33,167.949611
3.285665,37,182.415478
1.253116,16,187.846399
1.230231,17,194.548021
2.521388,27,205.16262
3.965145,55,227.248934
4.069776,50,249.429557
3.605339,47,271.015678
3.72288,47,291.109816
1.9222,23,301.258632
0.294731,8,304.138367
2.591692,31,316.813254
2.846919,36,331.72511
3.583752,44,351.442019
2.965538,32,364.928218
1.647888,21,373.75518
2.429307,24,383.271698
4.284719,55,405.919165
3.761723,39,421.212464
3.968307,47,438.364566
3.542242,40,453.593166
4.378274,43,469.717223
4.30342,55,491.928262
3.679507,52,514.049413
2.606813,33,527.140265
2.512585,36,541.927449
3.957382,50,562.686199
3.622649,45,581.827144
3.148448,35,596.220138
3.443545,45,614.322005
3.534619,53,636.957398
1.20365,17,643.733866
3.888612,61,671.649294
4.477624,46,690.256833
1.393737,15,696.322379
2.716749,31,709.030301
2.855135,41,725.459741
3.966993,39,740.982309
1.452574,15,746.961513
1.985501,18,753.428657
3.826371,36,767.122145
4.826681,69,795.641418
2.219541,27,806.723097
2.813888,37,821.533499
2.965938,46,840.342905
3.60201,44,859.520696
2.687372,33,872.926536
3.871679,51,894.608252
3.546811,40,910.929838
1.78628,27,921.914598
2.494451,30,934.360561
2.697623,34,948.146745
2.44126,28,958.714081
1.861723,24,969.040236
2.871798,37,983.811719
1.733161,19,992.423427
2.9099,41,1010.135048
3.089715,39,1025.833601
2.76215,36,1039.838053
3.175181,40,1057.350383
2.306009,27,1069.233612
2.446704,38,1084.829829
1.828864,22,1094.142255
3.444885,46,1113.422673
3.087735,37,1128.618655
2.965538,32,1140.845364
2.848438,35,1153.430995
3.164365,32,1165.531441
3.571587,47,1183.839281
4.180146,44,1200.923625
2.700671,35,1215.036895
3.951216,45,1233.502097
4.558996,45,1252.645478
4.30342,55,1276.014365
3.679507,52,1297.943251
3.7107,51,1318.940829
2.480366,35,1333.255728
3.404375,43,1350.229891
2.773112,36,1365.213299
2.202726,25,1375.218299
3.558788,46,1393.937438
3.034739,47,1413.241091
3.454416,47,1432.924563
3.888612,61,1457.953094
4.389432,45,1475.03635
4.667682,56,1497.714617
2.861851,32,1510.141431
4.372967,63,1535.920066
5.11329,50,1556.441287
3.948362,45,1575.349274
4.332821,44,1593.726948
3.987395,38,1610.721723
2.986873,41,1627.923841
3.339421,41,1645.118907
2.679712,35,1658.942443
3.291866,51,1680.238129
2.431873,30,1691.524105
2.88906,35,1706.508326
2.496036,33,1720.838249
3.870509,43,1739.02468
0.89029,14,1745.420354
1.820729,23,1754.929416
2.202262,26,1766.646546
3.285665,37,1782.241587
2.149097,28,1794.018487
3.460392,45,1812.847549
4.255301,47,1831.604833
4.11909,56,1855.02666
1.983383,27,1866.965022
3.260389,42,1883.656475
2.698961,34,1896.736072
2.535471,29,1908.038194
1.853747,30,1919.239942
3.346251,44,1935.647882
3.700012,51,1955.757374
4.659665,62,1979.826291
4.476938,52,1999.819237
2.433682,32,2012.241496
3.564935,37,2027.221082
2.648469,34,2041.658868
3.129764,29,2052.930767
1.178676,18,2060.83535
2.294668,28,2072.22712
4.781937,47,2090.219761
2.474083,31,2103.41744
3.127073,45,2121.429211
3.285062,44,2140.048157
1.361731,18,2147.223283
3.877039,49,2166.519619
1.842533,24,2176.331839
4.152998,48,2195.428717
2.741795,35,2208.051148
3.335211,51,2228.431664
1.746621,21,2237.035002
0.896266,12,2240.937597
4.477624,46,2258.631972
4.230603,50,2278.749364
4.159269,48,2297.038961
3.025361,43,2313.948225
2.036797,19,2322.115168
3.382735,37,2335.623959
1.985501,18,2341.532115
1.810757,17,2347.825786
3.33361,46,2365.031831
2.049972,24,2373.422638
4.144502,57,2395.924519
4.351633,66,2423.015563
4.320475,54,2443.732611
3.178192,38,2458.538166
1.040097,15,2464.222276
2.536105,31,2477.108218
2.246075,33,2490.15129
4.458717,53,2510.917186
3.129101,42,2528.43038
2.165194,25,2538.724073
3.035119,34,2553.152604
4.131123,54,2575.38712
4.427499,49,2595.721666
5.080045,67,2622.337995
4.560996,55,2643.83753
4.946783,64,2667.427605
