# {"t_start": 1768293732.4240956, "env_id": "PctContinuous-v0"} 
r,l,t
2.283509,20,7.031093
1.5388,23,15.943713
4.111287,48,38.537935
3.606371,48,59.854887
1.346423,20,67.639669
3.024475,36,83.147932
3.588395,43,100.438387
2.853918,38,115.218042
2.911418,35,130.037768
4.443332,68,158.188996
1.820729,23,167.228951
2.966995,39,182.394804
3.285665,37,195.82263
3.035119,34,209.030234
1.172917,16,215.322645
2.105819,21,223.743768
4.420554,60,250.741652
4.069776,50,273.443755
2.76215,36,288.851142
2.698961,34,303.533638
2.463467,28,314.947248
2.619237,40,331.345266
3.552019,47,352.314272
2.637362,34,366.545911
2.567825,31,379.437607
2.013649,21,388.650531
3.05745,37,403.32669
1.79398,18,410.137354
2.488569,32,422.510694
2.768986,27,432.825188
2.700671,35,445.430166
3.346332,39,460.117057
3.20875,32,472.188537
3.741704,47,491.714761
4.556421,63,517.318169
3.7107,51,539.127865
3.702409,51,560.034352
3.404375,43,577.826821
3.196459,42,595.332749
3.148448,35,609.451481
1.128061,17,616.44243
2.375358,37,632.239127
3.454416,47,651.815726
4.213716,66,680.618658
4.014077,41,697.86184
2.889313,29,709.839243
0.837377,12,714.424837
4.177973,59,738.543558
3.752172,37,752.524063
4.105897,49,770.811777
3.077711,30,784.11324
2.283509,20,791.834671
4.150882,59,816.043223
2.219541,27,827.024788
2.059123,27,837.936795
2.760292,43,856.721019
3.078197,37,871.834013
2.687372,33,886.516616
3.273304,44,903.840602
0.929502,13,909.231822
2.394142,35,923.756369
2.531924,31,936.543287
2.231662,27,947.136146
4.226446,46,965.670334
3.301919,37,980.120732
3.113932,40,997.810773
1.839673,20,1006.317176
2.731063,39,1022.923366
3.299216,41,1038.324989
4.404064,58,1064.030479
3.409665,44,1082.39666
2.535471,29,1094.53223
3.217403,47,1114.069854
0.628694,9,1116.908615
3.601387,49,1137.561459
3.356811,41,1152.327196
1.227641,11,1156.144995
1.14964,15,1162.033461
2.429307,24,1171.02016
2.541495,33,1184.22011
