# {"t_start": 1768293732.4213297, "env_id": "PctContinuous-v0"} 
r,l,t
4.154129,39,14.438056
4.150882,59,41.329813
3.339421,41,59.719844
3.303374,45,77.920679
3.083891,47,97.741198
3.60201,44,114.953086
3.588395,43,132.914898
3.273304,44,151.025121
3.546811,40,167.149157
2.159023,32,180.121349
0.944446,12,183.942701
3.936741,48,202.118934
3.721326,39,217.657449
2.362469,29,229.644545
4.389256,56,254.521389
3.669262,41,273.17073
4.351968,59,299.040778
2.58518,33,312.553984
5.064419,65,338.923936
3.827821,48,360.938514
1.9222,23,369.84052
2.112273,34,384.55066
3.284971,42,401.718659
4.051748,55,422.716411
2.797819,33,435.499267
3.226487,35,448.03541
1.708183,23,457.078015
2.429307,24,465.527529
3.305338,44,482.951293
1.5204,15,489.322186
4.210264,50,510.926685
3.346332,39,526.228155
4.105395,40,542.843108
3.803864,48,562.942888
1.748506,26,573.32599
2.606813,33,587.5508
2.236125,30,600.031678
2.175238,28,611.246129
1.739491,22,619.532017
3.148448,35,635.32382
1.552257,22,644.118796
2.315697,36,659.959427
3.0666,39,677.621827
3.589946,57,700.815741
4.389432,45,718.636625
3.975921,48,738.439194
4.23753,49,756.74026
4.243928,60,781.140884
4.420535,43,798.340247
2.002029,21,806.928581
4.058538,39,822.939139
3.934437,37,837.949088
3.470896,48,858.934073
4.111287,48,879.019225
1.206052,15,885.634123
1.948194,29,897.213944
3.437524,42,913.729034
4.110346,50,934.539124
2.496036,33,948.149032
4.242799,45,966.34746
2.159023,32,978.36273
1.820729,23,989.124268
2.509095,32,1002.649778
3.285665,37,1018.250322
3.035119,34,1031.832926
4.389256,56,1055.234703
3.5156,40,1072.64463
2.364782,33,1086.320477
2.98388,38,1101.933991
2.220727,26,1112.95344
1.190174,19,1119.834196
1.9222,23,1129.936708
0.915799,16,1136.423775
1.744704,21,1144.15253
4.051748,55,1164.439278
2.797819,33,1176.631813
1.730498,17,1183.845112
2.433682,32,1196.562444
3.070752,31,1208.440258
3.902593,51,1229.514826
3.894964,41,1246.128263
3.386706,41,1264.436295
3.837115,43,1282.129068
4.482783,44,1300.820156
2.40719,29,1312.229171
1.999466,29,1324.819224
2.783854,36,1339.233346
3.407917,46,1358.075485
1.971089,25,1367.82864
2.32999,30,1380.015751
0.579483,8,1383.220386
3.299375,43,1400.049486
2.375358,37,1416.237503
3.222639,42,1434.060745
3.649623,58,1457.536032
4.477624,46,1474.835726
3.298611,36,1489.572858
2.040106,24,1499.533661
3.900728,55,1521.125394
4.243484,41,1537.935633
4.285527,50,1558.645255
3.077711,30,1570.633947
3.987395,38,1586.821113
3.519904,49,1608.839684
4.111287,48,1628.290788
1.631868,22,1637.824912
3.189559,49,1657.539115
2.874514,35,1671.745132
2.463005,30,1684.11794
3.506181,46,1703.353371
3.761884,42,1721.132408
1.760391,26,1731.654768
1.925035,24,1742.815521
2.38751,30,1755.531721
3.008565,33,1770.026416
3.47487,39,1786.345598
3.113932,40,1802.535588
2.380306,25,1813.448375
2.364782,33,1826.758378
2.627531,34,1841.147495
2.421129,30,1853.325828
4.399205,53,1875.717629
0.50214,7,1878.215654
1.853747,30,1890.622863
2.660772,32,1902.741661
3.601387,49,1920.758032
1.389286,16,1926.839611
3.868254,43,1943.825993
2.751061,34,1956.765161
3.446033,36,1970.743779
2.488569,32,1982.84996
0.305634,4,1984.005128
4.935221,59,2006.819654
3.837115,43,2024.625304
4.378274,43,2042.726282
3.679173,46,2061.539752
3.860972,54,2083.12305
4.11553,59,2106.918038
1.152884,15,2112.778428
4.018852,51,2134.098053
2.180917,27,2145.13101
4.152998,48,2163.694677
4.22533,52,2185.527751
2.65665,43,2202.037788
0.83053,14,2206.41389
2.733646,41,2222.749671
2.998427,29,2234.655083
3.366407,37,2247.92891
3.623656,41,2264.727567
3.297569,46,2282.730535
3.483747,34,2295.669464
4.983087,59,2318.719206
3.077711,30,2330.632298
3.17572,28,2340.130623
2.187442,32,2351.835614
4.602278,52,2370.686423
3.674477,50,2390.427433
1.948194,29,2402.047084
3.795328,46,2421.141589
1.314872,16,2427.552241
2.544415,34,2440.246746
4.504714,48,2458.648295
3.359868,50,2479.148438
3.876982,45,2496.1264
4.404118,51,2517.137873
3.415875,38,2532.703478
2.781557,32,2546.547003
2.579657,33,2560.356129
4.427499,49,2580.619099
2.364782,33,2594.24095
4.069776,50,2614.042696
1.935023,22,2622.938785
2.373888,31,2634.148062
2.933446,31,2646.324266
4.768104,66,2671.45213
4.554025,61,2695.027203
2.637362,34,2706.635187
3.711607,46,2725.310071
2.187325,24,2734.638867
3.75709,47,2752.955638
1.848887,19,2760.139192
4.150625,54,2782.1314
3.002522,28,2793.135646
3.968307,47,2811.550275
3.728774,42,2828.440803
3.633883,36,2841.421361
4.493704,57,2864.226742
3.860972,54,2886.316263
0.40474,6,2888.283885
2.512585,36,2901.832935
4.868743,60,2925.463805
2.444195,32,2937.542706
4.319144,49,2955.841312
1.926412,26,2965.832007
3.579578,54,2986.025598
1.957973,24,2995.628424
2.881733,43,3012.518137
4.151721,43,3029.340303
4.368092,52,3050.140516
4.399264,51,3069.424459
1.354404,21,3077.613841
4.21578,40,3092.320373
4.983087,59,3116.154759
1.139149,13,3120.949442
3.826371,36,3134.744018
4.015569,58,3157.238747
1.942931,23,3166.259237
3.642723,49,3184.877937
2.049203,30,3196.331898
2.639881,32,3208.419453
2.203388,28,3219.617019
4.034675,53,3242.744985
3.870509,43,3260.644826
4.215226,65,3287.416851
3.112214,38,3301.733537
3.482595,45,3319.052469
2.165194,25,3329.023422
3.877515,45,3347.346503
1.054247,14,3352.543648
4.427499,49,3371.852208
2.364782,33,3384.368674
5.322129,65,3409.610961
5.064419,65,3435.238757
3.640595,46,3453.035498
2.933446,31,3465.91796
0.797119,14,3471.433989
2.437155,29,3482.540018
4.368296,59,3505.526576
2.936181,35,3518.374718
4.099997,46,3535.815067
4.326701,51,3554.633682
2.75632,27,3565.740359
4.862305,67,3593.170809
2.600459,25,3603.243312
1.88145,25,3613.331503
4.448263,49,3632.144691
