# {"t_start": 1768293732.4977207, "env_id": "PctContinuous-v0"} 
r,l,t
1.767267,16,5.454721
0.694838,11,9.571526
3.249082,40,27.880328
1.994373,26,39.473291
0.890847,14,45.063103
2.639881,32,59.445938
3.588395,43,76.944275
1.870874,24,87.765283
2.911418,35,101.264815
2.802655,44,118.464049
2.713417,34,133.359794
2.343297,29,145.05977
1.4303,19,153.139135
1.633903,20,161.459332
1.054247,14,166.504341
3.033981,34,180.376983
3.432021,48,197.873977
4.069776,50,217.565293
3.906899,52,239.653947
3.409665,44,260.14202
3.70833,41,277.738922
3.55526,52,300.556411
3.552019,47,319.380652
3.242956,42,337.177856
3.658297,45,357.276521
2.965538,32,370.251792
2.255241,30,383.06383
3.164365,32,396.553466
3.672573,48,414.966828
4.268242,45,432.247176
0.942646,15,437.44798
2.003129,23,446.064559
3.633883,36,459.754447
2.474083,31,471.757598
2.805104,40,487.668297
3.891888,54,510.878721
2.512585,36,524.746745
3.404375,43,542.762846
2.287009,29,555.147001
3.225538,36,569.678105
2.985666,38,585.985637
3.163024,48,605.300643
2.690461,33,618.638928
3.888612,61,644.670132
0.777701,8,647.868012
0.415459,4,649.549259
2.308003,27,661.555927
2.27081,33,676.79908
2.984751,30,688.97849
3.793581,43,706.579817
1.330935,15,712.448242
2.032289,19,719.749015
4.610984,66,746.77959
2.508625,31,758.251717
0.980926,13,763.46286
1.210718,18,769.564676
1.794372,22,779.464068
3.178192,38,794.732019
2.99514,39,810.575206
3.546811,40,827.063911
2.589881,40,843.749929
1.925035,24,853.772336
2.892749,37,869.47863
2.89367,32,883.565127
1.861723,24,893.081579
3.113932,40,909.351901
2.380306,25,919.166931
1.682541,24,929.238774
2.728004,35,943.45807
2.500931,31,955.78898
2.06151,29,967.658814
2.535471,29,978.441566
4.178181,59,1004.769047
1.71245,20,1013.171498
3.040296,38,1028.940491
2.863216,34,1042.069514
2.013649,21,1051.761199
2.997902,36,1067.169067
3.591471,38,1082.849991
0.443643,7,1085.470394
3.46328,35,1100.3019
3.968307,47,1119.165063
3.649539,41,1136.254
3.633883,36,1149.338413
2.604187,33,1161.691602
3.679507,52,1181.488927
2.783854,36,1195.937949
3.226179,43,1213.053584
0.359215,6,1215.255272
4.097276,50,1235.938413
3.019318,33,1249.950499
3.443545,45,1269.074832
2.55558,41,1286.294008
3.222639,42,1304.178002
2.68449,40,1320.366464
3.2212,32,1333.541971
3.797964,45,1351.255592
2.308003,27,1363.152888
2.422606,35,1377.040705
2.984751,30,1388.855061
2.668003,28,1399.472237
4.180229,41,1417.449393
3.17572,28,1429.048173
1.5388,23,1438.444921
3.50821,43,1456.270353
2.582436,34,1469.287389
3.871367,60,1493.08881
3.865738,47,1512.088043
2.463005,30,1524.262577
3.273304,44,1542.198649
2.402532,30,1554.554021
1.175575,19,1562.339792
3.468514,42,1580.072779
1.885453,24,1589.975735
3.008565,33,1605.0762
4.416426,52,1626.542109
1.230231,17,1633.446719
3.669262,41,1650.157945
2.364782,33,1663.886715
3.673618,45,1682.462538
3.605339,47,1701.752309
2.88939,37,1717.579714
2.933446,31,1729.445988
3.880752,55,1754.040907
1.71245,20,1763.392046
1.675132,24,1773.472582
2.663301,32,1786.549369
0.877722,8,1790.00296
0.880117,11,1794.765384
2.429307,24,1804.260731
1.48229,22,1813.680798
2.768986,27,1824.349796
1.794865,24,1834.764435
3.140317,36,1849.166769
5.122605,52,1871.428697
4.416097,56,1893.898996
3.860972,54,1914.543866
2.2358,30,1925.275146
3.226179,43,1942.167568
2.857571,38,1956.667203
3.196459,42,1973.254349
4.023842,46,1990.691958
3.299375,43,2007.061435
1.33586,21,2015.753428
2.589865,31,2028.365454
3.948516,62,2053.869986
2.49859,24,2063.37791
2.782389,28,2075.2624
2.716749,31,2087.343012
2.815429,40,2103.849725
2.090768,20,2111.749137
4.105897,49,2132.059818
1.221066,14,2137.564345
4.621738,45,2155.748875
3.519904,49,2175.563921
4.111287,48,2194.449677
3.238849,44,2210.481292
4.061518,63,2235.952432
4.320475,54,2256.268481
2.687372,33,2269.667052
2.105018,28,2280.569752
3.870509,43,2296.937949
3.977305,61,2321.659846
0.944446,12,2326.372171
2.343297,29,2336.368313
3.415875,38,2349.771033
2.492935,30,2361.159711
2.930679,38,2374.662493
4.200726,46,2393.389697
3.379848,47,2412.799809
3.400914,42,2429.472606
2.421129,30,2440.796523
3.640595,46,2458.48464
2.193517,25,2468.165442
3.217403,47,2487.486765
2.729568,33,2500.041959
0.687242,9,2503.76499
0.743932,9,2507.075142
3.582838,40,2523.765749
1.708183,23,2533.337565
2.429307,24,2543.366108
4.150625,54,2566.061165
4.268242,45,2584.467039
1.246795,19,2592.260192
4.966383,54,2613.747352
2.268835,25,2623.959638
2.319606,27,2633.858799
1.232132,19,2641.589682
1.695851,22,2649.281081
2.236125,30,2660.174044
4.409597,55,2681.435769
3.046034,41,2697.800362
2.517822,29,2707.871191
3.80512,49,2727.377014
4.184769,60,2750.838014
3.686177,48,2770.685559
4.157497,65,2795.846923
4.477624,46,2813.659562
3.456721,39,2829.571816
1.266403,16,2834.951486
1.884001,28,2845.664428
2.036797,19,2853.65641
3.20449,34,2866.763103
4.058538,39,2882.974973
3.826371,36,2896.766411
1.685744,24,2906.043523
3.674735,45,2923.159721
3.303374,45,2940.25698
1.168611,17,2945.894739
2.228597,29,2957.663035
3.32749,40,2972.789689
2.853918,38,2987.066634
2.911418,35,3001.073638
2.769273,43,3017.653993
3.620949,43,3035.193828
3.210822,43,3051.960459
2.723289,30,3063.554385
3.255735,36,3077.241902
5.254138,65,3102.25625
5.158647,56,3123.758217
4.544511,62,3147.873329
3.673618,45,3165.355561
1.543782,18,3172.859501
1.190174,19,3179.739724
4.767071,53,3199.453219
4.604071,63,3224.345556
4.168164,55,3248.663555
4.234129,57,3271.461551
1.959485,22,3280.571489
3.396954,37,3295.692847
3.75709,47,3313.65391
1.874471,20,3321.340174
2.328121,31,3333.569947
3.761723,39,3349.641723
4.46563,53,3370.154563
2.6242,32,3382.681352
4.482783,44,3399.567621
4.905664,61,3423.573714
2.061209,30,3435.278634
1.345297,18,3442.165512
3.407917,46,3460.557998
3.957382,50,3480.380744
3.881522,49,3499.052062
4.112315,47,3516.647456
4.360137,54,3537.257401
2.315697,36,3551.071699
3.0666,39,3566.056012
3.087865,47,3585.588232
2.49859,24,3595.44026
3.741035,44,3612.968848
1.482694,18,3619.538961
4.746142,69,3646.252695
5.207823,51,3667.144206
2.148237,23,3675.972454
3.077711,30,3688.068904
3.080857,27,3699.75721
1.479543,22,3708.766185
4.602278,52,3729.852562
1.206052,15,3736.540122
3.785319,59,3759.975965
2.639881,32,3772.862448
2.687372,33,3785.339734
2.383255,32,3799.367234
4.663958,50,3818.352935
3.359868,50,3837.771911
2.713417,34,3851.141563
4.404118,51,3872.058669
3.084193,34,3885.24808
2.492935,30,3898.084568
4.131123,54,3918.868118
1.589081,17,3926.246287
4.26495,58,3950.067129
3.673618,45,3968.458647
1.84069,21,3976.27176
2.373888,31,3988.24801
3.70833,41,4004.462852
2.070085,33,4017.559315
3.474456,46,4035.913308
1.20096,18,4042.373436
4.326061,57,4064.346388
4.558311,53,4085.748986
0.919916,12,4090.256204
4.271868,45,4108.04102
4.389072,56,4129.246449
4.664471,49,4148.645035
2.113224,27,4159.851574
3.837115,43,4177.270494
3.633883,36,4191.26851
4.252368,54,4213.472647
3.679507,52,4235.901694
3.486207,47,4254.374299
3.600809,49,4273.461434
3.508642,44,4291.754006
3.6805,46,4310.543252
1.101325,11,4314.839281
3.953338,51,4335.663161
1.607661,25,4346.251837
2.222326,27,4356.467809
4.32491,67,4383.138957
4.389432,45,4401.440186
3.456721,39,4417.460469
3.568542,40,4434.468686
0.820641,13,4439.748671
4.623502,45,4458.139911
4.040688,48,4478.670661
2.75458,26,4489.591254
3.987395,38,4505.356348
3.662501,51,4526.576313
4.111287,48,4545.67537
2.446248,32,4557.948227
1.346423,20,4566.061101
4.710157,58,4588.749525
4.000581,48,4606.155075
2.309219,31,4618.775127
2.753222,33,4632.388689
3.49441,53,4654.156273
2.282481,27,4666.26284
1.518281,21,4674.677283
3.415875,38,4690.155575
3.47487,39,4706.164301
3.649693,48,4725.151992
3.5156,40,4740.761456
4.686033,63,4766.281062
5.233985,63,4792.966083
1.543782,18,4800.260808
3.72288,47,4820.962392
2.535471,29,4832.93815
1.809635,29,4844.456789
4.168164,55,4867.077042
1.548676,22,4876.662878
