# {"t_start": 1768293732.4449747, "env_id": "PctContinuous-v0"} 
r,l,t
1.810757,17,5.696096
2.187442,32,18.533447
2.219541,27,32.311939
3.303374,45,51.121809
3.083891,47,71.14141
2.874514,35,86.428685
2.463005,30,98.324521
3.061882,40,114.244676
2.911418,35,128.512893
1.664697,25,139.223007
0.539025,8,142.511404
2.231662,27,153.602245
1.89117,23,162.997024
4.457233,53,183.103274
3.859614,51,202.721778
3.201534,36,216.813137
1.851462,26,227.61358
4.069776,50,249.803073
3.906899,52,273.401139
2.698961,34,287.698732
1.204789,14,294.40933
2.934841,43,312.221695
2.591692,31,323.915995
3.444885,46,344.029901
3.836093,49,365.772924
1.815931,18,373.121107
3.863468,48,393.519071
3.164365,32,405.915102
3.087495,40,421.500264
2.768986,27,431.618953
1.580882,22,439.300897
2.830966,34,452.503934
3.952963,39,466.79277
3.741704,47,485.430735
2.443291,35,500.298632
2.941684,38,516.020195
2.236125,30,528.30584
1.971089,25,539.123869
2.969482,40,555.5222
3.648951,42,572.6967
3.80512,49,593.622966
2.612617,42,610.49759
1.957973,24,619.612636
3.244152,50,641.495476
1.767062,16,647.991853
4.116736,49,670.503937
3.147861,36,685.206882
3.835123,54,707.414106
3.966993,39,722.414109
4.105897,49,742.71261
4.124641,40,758.027564
3.987395,38,772.61616
3.470896,48,792.460516
2.112949,25,802.502067
3.017579,40,818.706886
2.384789,36,833.225397
3.60201,44,851.911197
2.687372,33,866.099916
0.446232,7,869.007658
3.546811,40,886.492646
1.5537,24,895.919258
1.963388,25,905.816118
2.202262,26,916.060488
3.807509,41,933.100642
3.566621,41,949.921228
3.782289,50,969.815538
3.669262,41,986.998948
3.242406,45,1006.498856
4.739305,57,1029.919256
3.906899,52,1051.722325
1.053314,18,1058.9091
2.933446,31,1072.512623
1.809635,29,1084.611069
0.871358,11,1089.032685
1.767563,25,1099.407889
2.663301,32,1112.801352
3.71072,42,1129.915374
0.846829,10,1133.807344
3.446033,36,1147.203474
4.150625,54,1167.307033
3.435824,34,1180.436513
3.588489,43,1197.417291
3.258704,38,1212.594154
3.403474,34,1226.304511
3.611951,45,1245.137272
2.142202,31,1259.21313
1.494232,20,1267.218041
2.236125,30,1279.411568
3.106493,40,1296.518886
3.881522,49,1316.206838
2.202726,25,1326.978945
3.80512,49,1346.636299
1.139534,18,1353.922481
1.427671,18,1362.09629
2.68449,40,1377.913084
2.998427,29,1389.624657
3.975921,48,1408.415568
3.035784,35,1424.320044
1.950303,29,1435.807186
2.303527,22,1443.615217
3.002458,31,1457.440887
3.719982,35,1470.814484
5.049335,50,1490.594138
1.942923,28,1502.238545
3.02068,38,1516.823118
2.813888,37,1532.111502
1.948194,29,1544.016175
2.029113,26,1554.91824
3.504809,42,1572.222563
3.543762,47,1592.038417
2.235414,27,1604.521432
4.632656,70,1633.51708
1.820729,23,1643.192746
2.343297,29,1654.620541
3.195424,35,1668.828707
2.085741,27,1680.721562
4.728371,59,1704.217762
3.033981,34,1719.12162
3.790392,52,1741.624853
5.322129,65,1769.30912
3.906899,52,1791.413126
2.455175,32,1804.518002
3.805448,42,1821.491135
3.046689,45,1841.000415
4.481882,60,1865.813156
3.040296,38,1881.349851
2.663301,32,1893.826326
2.24091,25,1903.30755
2.04634,27,1913.99821
3.271568,34,1926.012612
4.150625,54,1947.02476
2.768986,27,1957.301063
1.109736,17,1964.131451
2.6242,32,1977.032371
1.216872,15,1982.120116
3.872527,49,2001.130137
1.3318,20,2008.693056
3.7107,51,2029.738253
2.512585,36,2044.585011
4.730203,58,2067.736143
3.622649,45,2086.415955
3.648951,42,2103.215339
1.926412,26,2113.613434
3.034739,47,2133.556398
1.783622,22,2142.054688
1.642816,21,2150.810857
4.389432,45,2168.824853
3.366407,37,2183.917949
3.623656,41,2199.826953
4.656448,67,2225.092459
5.588354,55,2245.896611
4.719449,56,2268.280716
1.330935,15,2274.099164
4.52676,44,2291.228813
4.015569,58,2313.696536
4.111287,48,2332.764812
3.948927,54,2351.817626
1.506947,21,2359.695219
1.167466,13,2364.71262
3.93851,47,2381.828348
2.496036,33,2395.332359
4.504714,48,2415.010512
2.246075,33,2428.420634
4.265141,50,2447.037736
4.618203,54,2468.329263
3.415875,38,2483.612878
2.959322,33,2496.015694
4.131123,54,2518.300236
4.658508,51,2539.419398
1.163905,15,2546.216504
1.983383,27,2557.524437
4.877276,63,2583.634746
3.175181,40,2599.827009
3.192677,35,2613.604108
1.853747,30,2625.623986
1.744704,21,2633.12503
2.404369,32,2645.704139
4.416133,58,2667.748404
4.558311,53,2687.617327
1.14964,15,2694.006987
3.164365,32,2704.73015
3.851921,50,2725.032684
3.129764,29,2736.19578
4.210264,50,2755.727152
4.294995,48,2774.81361
3.403474,34,2788.837487
3.975345,50,2808.147509
3.767306,53,2829.220767
3.891888,54,2849.593921
4.166163,56,2871.903548
2.755173,36,2886.839135
1.901555,25,2896.014685
1.95512,24,2905.017239
1.303826,20,2913.423157
3.222342,49,2931.818645
2.136253,26,2941.293981
3.354426,52,2961.419749
1.805425,17,2967.618534
3.247697,35,2980.65343
1.266403,16,2986.701493
2.855135,41,3003.015989
2.624677,27,3013.623633
2.103653,22,3022.128439
4.332821,44,3040.231066
3.987395,38,3054.807966
3.662501,51,3074.006025
2.598362,32,3086.229912
3.100361,41,3102.614688
1.506947,21,3110.916022
3.078197,37,3124.844338
2.203388,28,3135.503893
1.416704,18,3142.501906
3.546811,40,3158.312298
3.067534,47,3176.315489
3.468514,42,3191.769872
2.343297,29,3203.014852
3.415875,38,3218.10717
5.071675,57,3242.796807
3.964362,52,3264.416339
3.5156,40,3280.218873
4.544511,62,3304.614458
3.995973,49,3323.821779
1.935023,22,3332.535137
1.821005,27,3343.618037
3.912651,43,3359.605721
3.55526,52,3381.131746
3.552019,47,3398.723619
0.687242,9,3402.293904
4.416133,58,3425.211055
3.582838,40,3440.807959
1.491098,19,3447.722558
4.271868,45,3466.219309
4.150625,54,3487.298122
2.600459,25,3497.205104
3.968307,47,3514.83339
4.294995,48,3532.706729
0.999628,12,3537.401323
3.679173,46,3554.54057
3.679507,52,3575.820342
1.345297,18,3582.814214
2.338294,32,3596.197244
2.461617,34,3609.505306
0.436294,8,3612.866438
3.503897,40,3628.622346
3.299375,43,3645.122484
4.184769,60,3669.118614
2.74691,34,3682.411739
3.824274,60,3707.841227
4.477624,46,3726.098226
1.595161,17,3733.895337
