# {"t_start": 1768293732.4399834, "env_id": "PctContinuous-v0"} 
r,l,t
3.17572,28,10.024626
2.066126,30,23.043781
3.249082,40,41.419571
2.813888,37,57.820194
2.760292,43,75.119105
1.227509,14,81.622319
2.687372,33,94.812226
3.644342,49,114.420493
0.448746,7,117.000473
2.55102,39,134.064532
2.176869,26,144.508601
3.010364,40,160.920138
4.102481,45,178.830103
1.705308,21,186.015676
4.048238,53,206.537682
2.234325,23,215.322057
3.965145,55,238.505335
0.754467,10,243.421376
4.267864,56,269.300353
2.806002,35,283.966718
2.193517,25,295.421993
3.880752,55,317.50625
2.591692,31,330.212509
4.327795,58,355.823809
2.998299,36,370.944274
1.815931,18,378.616154
2.848438,35,393.814539
2.134429,22,401.917925
3.305338,44,419.014204
3.894964,41,434.51934
2.178786,28,444.554309
3.346332,39,459.513434
3.633883,36,473.060356
3.975345,50,493.620902
0.773881,13,498.81846
2.783854,36,514.307082
1.633968,22,523.131572
2.264893,29,535.734706
1.739491,22,543.900212
3.648951,42,561.610113
2.801056,36,576.528466
2.431453,38,592.709033
1.499065,19,600.318467
3.000376,45,618.344633
4.68894,47,638.416511
2.334034,26,649.211906
3.147861,36,665.70791
4.691714,68,694.514895
3.966993,39,710.001006
3.382735,37,724.925033
3.352308,31,737.699313
2.860253,25,747.519685
3.519904,49,765.940824
3.674735,45,784.332362
2.373179,31,796.999944
3.785319,59,820.71799
3.109701,38,836.121692
1.496237,19,844.630034
3.506181,46,864.33603
3.088465,36,879.723078
2.769273,43,897.122102
2.675752,33,910.719405
2.803645,36,925.31016
2.78669,31,938.02898
2.362469,29,949.602139
2.930679,38,964.929291
3.669262,41,980.912151
1.060918,13,986.999003
2.873151,37,1002.812417
3.978889,53,1024.906343
0.487363,12,1029.935856
3.67151,40,1046.115859
3.394454,49,1067.866886
1.250778,15,1073.928474
1.988132,27,1084.921389
4.326061,57,1109.003991
3.32538,36,1123.325242
1.708183,23,1132.607485
2.429307,24,1141.722328
1.381605,20,1149.017727
3.396415,33,1161.206543
4.071512,49,1179.83939
1.802828,21,1188.507003
3.633883,36,1202.303339
4.08296,52,1223.621228
2.347192,34,1237.719997
1.494232,20,1245.922424
2.338294,32,1260.726654
3.269579,42,1277.700445
2.899375,38,1293.917951
3.148448,35,1308.226153
3.558788,46,1327.096822
2.937587,46,1345.627369
1.783622,22,1354.206037
2.268916,32,1367.640413
3.751039,39,1383.422716
2.641891,27,1394.213614
2.716749,31,1406.134263
1.779101,26,1418.128815
2.984751,30,1430.224163
3.664824,42,1447.121401
4.284641,43,1464.895881
3.748629,35,1477.902818
3.614118,50,1498.627589
4.01298,47,1516.809858
2.446248,32,1530.299819
1.676571,25,1540.611556
3.60201,44,1558.501416
3.588395,43,1576.727613
2.65291,36,1591.411232
2.402532,30,1605.532926
3.581335,54,1627.962325
3.620949,43,1645.626225
3.936741,48,1664.893067
3.415875,38,1680.812612
3.301919,37,1695.41191
3.55055,46,1715.23746
1.839673,20,1723.595633
3.965145,55,1747.321936
0.557736,8,1750.909235
2.260239,27,1762.947555
2.88939,37,1778.429132
3.138398,34,1793.032394
2.619237,40,1809.231481
1.475452,17,1815.719398
3.601387,49,1836.897557
4.326061,57,1860.581078
3.32538,36,1875.297043
3.520665,44,1892.729482
3.863446,39,1907.704656
4.754206,65,1931.743656
2.215398,21,1940.12033
1.580882,22,1948.323189
3.140317,36,1962.719613
3.468009,35,1976.502931
4.583398,58,1998.728111
3.000767,44,2015.723103
4.155737,60,2040.801993
2.512585,36,2054.968949
3.404375,43,2072.74149
4.420094,56,2094.71106
3.92116,45,2113.320907
4.360137,54,2135.706784
2.612617,42,2153.039667
4.085323,54,2174.42615
1.179331,15,2180.607742
4.389432,45,2197.91362
3.741035,44,2214.027209
3.623656,41,2231.019892
1.770028,25,2240.329606
4.623502,45,2257.522624
4.105897,49,2276.897282
1.985501,18,2284.194957
3.987395,38,2298.800413
3.149504,44,2315.899363
2.508625,31,2328.624981
0.896516,11,2332.618247
0.890847,14,2337.230189
4.243138,52,2355.753008
2.687372,33,2367.730238
1.870874,24,2376.307349
4.399524,47,2395.611089
3.614307,55,2418.264364
1.820729,23,2427.313291
3.129101,42,2443.42873
3.285665,37,2457.645341
2.959322,33,2470.715141
2.058406,27,2481.820086
4.427499,49,2500.822394
2.557267,36,2515.610665
4.492361,54,2538.020585
2.76215,36,2553.434511
2.26426,30,2565.814867
2.306009,27,2576.80267
0.521782,11,2581.516211
0.628694,9,2585.01472
3.444885,46,2603.844041
3.972363,51,2624.038491
0.877722,8,2626.936644
2.179762,29,2637.604014
1.197508,11,2642.39863
3.387251,45,2658.555444
4.268242,45,2675.988915
3.770388,44,2693.609767
2.259034,27,2702.535797
4.944444,49,2721.936636
2.443413,30,2733.84145
4.14499,57,2756.125036
3.486207,47,2775.056673
1.453186,19,2782.420167
4.018852,51,2802.595482
1.739491,22,2811.009233
1.744142,21,2819.428108
4.480555,55,2840.194965
3.990449,59,2863.474643
3.870931,50,2884.334016
0.505624,7,2886.998385
1.767062,16,2893.228841
3.366407,37,2907.44632
3.257676,37,2921.316062
1.217867,19,2928.815343
3.421809,33,2941.040377
4.584777,54,2961.731929
3.755477,36,2974.69146
2.283509,20,2982.39169
3.33361,46,3000.711257
5.545815,61,3024.523859
2.813888,37,3039.827037
3.083891,47,3058.012889
5.171234,65,3082.42935
1.496237,19,3089.414308
2.853918,38,3105.111873
2.235414,27,3115.316467
2.769273,43,3131.942584
2.494451,30,3143.428151
5.177905,63,3167.603484
3.415875,38,3181.994427
4.457233,53,3202.096864
2.058406,27,3212.907868
0.803296,8,3216.116061
5.287438,69,3245.498347
4.560996,55,3268.02318
2.598453,33,3281.529922
3.72288,47,3300.229965
2.933446,31,3311.798582
4.768104,66,3338.433932
3.304645,43,3355.110281
3.700012,51,3375.60557
2.863216,34,3388.210487
1.227641,11,3392.409571
3.75709,47,3411.015483
2.915962,28,3422.122376
4.150625,54,3442.811376
0.900682,9,3446.024577
2.178786,28,3457.819468
4.188382,47,3476.834726
2.368987,27,3487.011367
4.653543,59,3509.419196
0.501472,8,3512.598018
3.418948,46,3529.836578
4.502789,60,3552.221876
4.409597,55,3574.400031
3.291488,43,3591.729553
4.319144,49,3611.728956
3.299375,43,3628.715165
1.528321,24,3637.502377
1.746621,21,3645.83296
2.032137,29,3657.729854
1.955304,19,3665.434318
3.456721,39,3680.535134
2.242404,26,3690.927604
4.291346,61,3716.650375
