# {"t_start": 1768293732.4720078, "env_id": "PctContinuous-v0"} 
r,l,t
2.940769,26,9.397522
3.149504,44,29.401222
2.641144,33,43.437241
1.363266,18,51.286033
1.948194,29,64.20135
3.946718,48,84.266735
4.000581,48,103.301257
2.853918,38,118.094355
3.546811,40,135.295565
3.172753,48,155.571728
1.963388,25,164.986713
3.210822,43,182.066242
1.015058,15,187.201757
3.301919,37,201.38853
3.460392,45,219.170094
4.087826,45,237.995968
3.965145,55,263.996865
4.069776,50,285.210316
4.267864,56,308.984088
3.555034,45,326.66672
3.00758,32,340.693966
2.980036,44,360.782437
0.871358,11,365.281702
3.116397,40,381.811793
3.356811,41,398.781648
3.136611,34,412.064883
1.647888,21,420.494776
2.429307,24,429.174618
1.890715,26,438.494159
2.600459,25,447.9853
2.632607,34,461.001857
2.294668,28,471.775944
0.830006,10,475.367851
2.690825,34,489.594521
0.964788,15,495.57954
4.607212,67,523.278297
2.297999,31,536.589018
1.155495,16,542.89607
3.291488,43,560.984208
4.112315,47,580.663723
3.558788,46,599.785358
3.579578,54,620.564839
2.887217,35,636.601788
2.436438,36,651.496796
4.151721,43,671.482584
3.53118,41,688.184799
4.159269,48,707.673359
2.815429,40,723.6061
2.303527,22,732.490186
2.56531,27,743.493445
3.642745,34,756.089933
2.940769,26,766.168463
4.015569,58,789.831842
3.02068,38,805.190511
2.333427,30,817.68359
1.948194,29,829.09312
3.865738,47,849.170666
2.88906,35,864.098328
2.496036,33,878.303088
2.068463,26,889.275365
1.968319,29,900.922226
1.820729,23,910.038851
3.416501,44,928.116848
3.285665,37,942.994913
2.362469,29,954.588797
3.649693,48,973.699478
2.380306,25,984.098207
3.88059,53,1007.50281
1.36968,19,1015.202152
3.661708,48,1034.298444
2.95843,38,1050.69081
2.933446,31,1063.98519
3.715704,53,1086.265002
4.248334,56,1109.680772
4.368296,59,1133.282099
3.583752,44,1149.773949
4.099997,46,1167.10071
3.629302,45,1184.672644
3.591471,38,1199.275584
3.033563,39,1215.118583
2.30815,22,1223.963066
2.632607,34,1238.202057
1.318097,18,1245.396111
3.633883,36,1261.476189
4.08296,52,1282.985035
3.767306,53,1305.373836
1.695851,22,1313.670374
2.236125,30,1326.481299
3.106493,40,1342.785947
2.444195,32,1355.609515
3.331606,37,1370.5042
3.80512,49,1390.865613
1.528321,24,1399.582225
1.499065,19,1407.498093
3.824274,60,1433.598846
1.900158,18,1440.202613
0.647042,7,1442.377658
2.534675,29,1455.285333
1.831774,27,1465.976888
2.502122,25,1475.39605
2.56531,27,1486.182213
1.330935,15,1492.065193
1.810757,17,1499.374747
