# {"t_start": 1768293732.4850934, "env_id": "PctContinuous-v0"} 
r,l,t
1.516063,15,4.754551
4.296481,61,32.472166
2.641144,33,45.974676
3.303374,45,65.985114
1.835504,27,76.678565
2.228597,29,89.183262
2.88906,35,102.853012
1.870874,24,112.556933
2.284922,28,123.261946
0.723747,12,128.97373
2.282481,27,140.270097
2.343297,29,152.068804
3.195424,35,166.286612
3.035119,34,179.867744
3.297674,42,195.196151
3.5156,40,210.577825
4.26495,58,234.485359
2.352257,31,248.985686
4.267864,56,274.012991
1.053314,18,281.478115
4.114893,46,302.073892
3.394454,49,321.235002
2.258098,27,332.869913
3.779777,53,356.199344
1.642995,19,364.48201
0.266138,5,366.195966
3.75709,47,385.968569
1.197508,11,390.960471
3.571587,47,409.158133
2.215398,21,417.368206
1.735662,23,426.47825
3.542242,40,440.47877
3.027431,31,452.853271
3.872527,49,471.272198
4.210632,58,494.750353
3.597023,48,514.989565
3.560847,48,535.054387
2.55897,35,548.773899
2.773112,36,564.078543
4.112315,47,584.071436
3.678795,47,603.06472
2.431453,38,618.180673
3.768687,49,639.283465
3.888612,61,666.057429
3.728538,38,682.000237
2.889313,29,694.365174
2.716749,31,706.762832
1.412192,22,715.762252
3.421809,33,729.175798
2.888661,30,741.179702
3.784368,37,755.091212
2.860253,25,765.015894
3.709134,52,785.994491
3.674735,45,803.85747
2.582436,34,817.868772
1.576151,22,826.875753
3.865738,47,846.973112
2.88906,35,861.950713
3.273304,44,880.554659
3.444715,39,896.284059
2.55102,39,911.999957
2.675752,33,925.665608
4.173734,50,945.751258
2.44126,28,956.756899
3.566621,41,973.162591
3.964362,52,995.88315
3.669262,41,1013.072413
3.078448,43,1030.680203
4.560996,55,1053.958403
3.418257,45,1072.970263
2.854918,36,1087.792475
3.138398,34,1101.876236
3.217403,47,1120.892709
1.123567,13,1126.77657
3.63477,50,1145.680058
2.797819,33,1157.762081
2.149292,23,1166.791956
4.326701,51,1186.483655
2.915962,28,1197.579565
3.571587,47,1215.943183
2.215398,21,1224.903383
3.588489,43,1242.254886
3.258704,38,1259.661602
3.027431,31,1272.068402
3.975345,50,1293.393577
2.443291,35,1307.989406
2.606813,33,1321.39143
2.512585,36,1335.784978
3.5767,45,1353.854976
3.881522,49,1373.784217
3.225538,36,1388.669642
3.299375,43,1405.060424
2.612617,42,1424.370281
3.298424,44,1441.194867
3.451133,54,1463.896355
3.303453,33,1476.086342
4.816372,58,1499.781367
3.623656,41,1515.905367
2.27081,33,1529.584733
2.090768,20,1537.577086
4.584777,54,1559.782741
3.755477,36,1574.919871
1.516063,15,1581.17326
3.149504,44,1600.081607
3.60846,44,1619.162613
4.120945,56,1642.516973
1.835504,27,1653.105662
2.874514,35,1667.277289
2.687372,33,1681.271343
3.152074,42,1698.384634
2.911418,35,1712.673616
0.464193,7,1715.875263
2.176869,26,1726.27606
4.618203,54,1750.350511
4.698554,50,1772.127896
3.179225,35,1786.760459
2.579657,33,1800.181831
4.343494,48,1819.890893
3.965145,55,1842.881818
0.754467,10,1846.481302
3.605339,47,1867.300398
4.323902,52,1887.864406
2.535471,29,1899.070723
2.864944,42,1915.588485
3.728303,50,1933.371732
3.63477,50,1953.17819
3.767299,48,1972.055936
2.187325,24,1981.168696
2.433682,32,1993.473465
1.462904,14,1998.965433
3.672573,48,2017.41138
3.894964,41,2034.115533
3.588489,43,2051.958076
3.919476,44,2070.290224
5.122605,52,2090.644126
3.872527,49,2110.782906
0.501472,8,2113.857395
2.606813,33,2128.077582
3.051539,42,2145.274769
1.097825,15,2151.275343
0.590395,9,2154.561293
3.148448,35,2168.683952
2.020643,27,2179.664384
3.534619,53,2200.654658
1.660599,20,2206.977448
4.636193,69,2234.866532
3.2212,32,2246.28
5.046113,62,2271.149681
2.040106,24,2280.65662
4.177973,59,2303.353039
3.483747,34,2316.878296
4.584777,54,2337.403328
4.5512,47,2353.571689
4.412195,42,2369.372318
4.296481,61,2393.384377
4.01298,47,2412.555129
0.980926,13,2417.559377
2.453806,37,2432.284555
4.243138,52,2451.99294
2.687372,33,2464.952984
1.614633,20,2473.150712
3.546811,40,2489.255502
2.425647,36,2503.389959
3.285834,39,2519.275501
1.942786,25,2529.452104
2.723289,30,2542.181671
3.035119,34,2556.573176
4.728371,59,2580.965394
4.343494,48,2600.556417
3.965145,55,2622.369803
1.224534,16,2628.67399
1.935023,22,2636.27228
2.455175,32,2648.563485
3.192677,35,2661.68646
1.711824,27,2672.49021
3.552019,47,2690.706447
4.051748,55,2711.169416
4.553317,60,2734.376608
1.730498,17,2740.664949
2.848438,35,2754.650663
3.591471,38,2770.459242
2.328121,31,2782.484934
1.045055,11,2787.258656
4.46563,53,2807.469082
4.294995,48,2826.629079
3.952963,39,2840.967204
4.416097,56,2863.397201
0.6391,11,2867.574774
3.891888,54,2889.697047
3.64033,50,2908.775543
3.703936,46,2926.988745
2.511262,33,2938.986319
4.57644,53,2958.758858
2.640465,33,2971.384342
2.431453,38,2985.473555
3.686177,48,3004.494401
4.157497,65,3030.056698
2.91815,28,3041.461279
3.909062,47,3059.911264
2.861851,32,3071.80349
2.815429,40,3087.101049
3.966993,39,3102.264072
4.528834,53,3122.537359
5.076217,50,3142.166178
2.940769,26,3151.966324
3.771417,54,3173.680766
3.674735,45,3189.774555
2.679712,35,3203.384183
4.251396,65,3229.16361
1.903327,24,3240.976809
4.618005,54,3263.55982
4.034675,53,3284.368293
2.402532,30,3296.487722
2.769273,43,3312.880874
2.675752,33,3325.875395
5.177905,63,3351.061435
2.89367,32,3362.659841
3.47487,39,3379.187069
3.964362,52,3398.766761
2.521388,27,3409.376545
4.544511,62,3433.767089
4.560996,55,3455.270044
1.974,23,3464.870371
2.53903,33,3477.572232
2.933446,31,3489.573213
3.217403,47,3507.649625
3.861495,51,3526.252484
4.170761,56,3548.090641
3.767299,48,3566.60375
3.868254,43,3584.059718
4.326701,51,3604.570205
3.446033,36,3618.671338
3.387251,45,3636.387053
2.768986,27,3646.570837
1.941849,26,3657.475963
2.492209,31,3670.101174
4.558996,45,3687.498698
4.252368,54,3710.560208
1.893351,28,3722.059048
2.606813,33,3735.892573
2.338294,32,3749.467884
3.703936,46,3767.290296
1.901555,25,3776.152946
3.648951,42,3793.666744
4.480555,55,3815.219743
2.315697,36,3829.260429
1.869894,23,3838.188188
3.888612,61,3863.312137
4.151721,43,3880.575221
4.943862,60,3904.559073
3.699458,42,3920.485637
1.779101,26,3931.766106
2.090768,20,3939.679978
4.528834,53,3961.405668
2.319403,20,3969.89366
4.154129,39,3984.197363
2.066126,30,3995.565915
4.01298,47,4014.4593
0.919654,12,4019.980979
3.414034,53,4040.391986
2.029113,26,4050.068483
2.687372,33,4063.009183
2.021925,26,4073.277577
2.536105,31,4085.897859
1.78628,27,4096.692893
2.176869,26,4106.674482
4.173734,50,4125.25664
0.948045,13,4130.692543
4.071567,48,4149.603164
2.457179,31,4162.212688
4.658508,51,4182.959826
4.11909,56,4205.299889
3.400914,42,4222.076241
4.404064,58,4246.851946
1.745182,26,4256.48514
2.933446,31,4269.189018
3.880752,55,4291.850148
4.168164,55,4314.267136
4.051748,55,4336.556448
4.416133,58,4359.996457
4.355183,50,4380.169427
3.05745,37,4394.982568
3.446033,36,4409.259423
4.910245,68,4437.400696
4.092945,43,4455.37542
4.071512,49,4476.077263
1.134942,15,4482.557413
4.378274,43,4500.365543
4.30342,55,4522.895768
2.600752,37,4538.149893
4.927109,72,4566.290524
2.512585,36,4580.5657
4.639064,57,4601.930829
2.696207,35,4615.567173
4.785221,54,4637.767314
2.084119,28,4649.57482
3.335211,51,4671.17208
2.505843,30,4683.870866
3.398625,53,4705.051249
1.259755,13,4710.069762
3.412681,38,4725.260797
2.995188,34,4738.388266
1.831774,27,4748.982179
4.894409,47,4768.352326
1.809376,19,4775.90934
4.284641,43,4794.480047
4.621738,45,4813.769329
4.360597,62,4839.687984
3.50821,43,4857.067505
3.238849,44,4875.887195
3.785319,59,4901.481975
3.109701,38,4916.073369
1.687989,21,4925.982969
4.460887,58,4949.773536
2.911418,35,4964.673024
3.461617,52,4987.179592
1.963388,25,4997.15418
0.887978,12,5002.07554
3.764384,40,5018.360219
3.035119,34,5032.447468
4.131123,54,5054.797007
2.483726,26,5066.266513
4.11909,56,5089.184412
3.089715,39,5106.289466
4.404064,58,5129.432148
3.827821,48,5149.552697
2.933446,31,5162.682049
3.880752,55,5186.003625
1.184308,14,5191.560122
4.234129,57,5214.467237
2.366227,27,5225.184525
3.619768,41,5242.372263
3.75709,47,5262.681712
4.417212,47,5282.15927
3.902593,51,5304.388605
3.25579,30,5316.760419
4.210264,50,5337.591616
4.448263,49,5358.055462
4.295063,42,5376.084489
2.249044,26,5386.298586
2.142202,31,5399.276211
4.607212,67,5426.868721
3.64033,50,5449.482192
3.703936,46,5468.153368
1.294283,17,5475.270175
4.57644,53,5496.94597
3.443545,45,5514.171848
3.579578,54,5537.075403
4.085323,54,5559.559176
4.686692,70,5588.570122
2.29527,22,5597.766965
0.415459,4,5598.962803
1.417174,17,5605.880478
0.639904,11,5610.053771
4.769665,46,5630.78215
4.105897,49,5650.382652
4.332821,44,5669.486608
2.537131,22,5678.175532
3.771417,54,5700.278913
2.598362,32,5713.688929
0.980926,13,5719.457044
1.210718,18,5726.370473
4.199237,51,5749.126179
2.687372,33,5762.039411
2.059557,27,5773.073839
4.399524,47,5793.657694
4.538712,69,5823.851235
2.446531,29,5835.867896
3.788915,47,5855.669892
4.102481,45,5874.67656
3.721938,43,5893.079232
4.898128,61,5917.267417
2.234325,23,5927.452588
4.11909,56,5951.251724
4.739305,57,5975.08677
4.19972,54,5998.779305
3.212451,41,6016.290348
3.912651,43,6033.669207
2.446704,38,6050.150995
1.71245,20,6058.570725
2.404369,32,6071.982528
3.356811,41,6089.565266
0.266138,5,6091.162081
3.520665,44,6109.188212
4.145943,44,6128.678942
3.448299,46,6148.66391
4.058769,42,6167.39266
2.759857,36,6181.870746
