# {"t_start": 1768293732.4301968, "env_id": "PctContinuous-v0"} 
r,l,t
3.17572,28,10.110055
1.479543,22,18.823948
4.01298,47,41.016186
3.674477,50,62.806134
2.965938,46,82.146337
2.874514,35,96.319106
3.588395,43,113.229429
2.309219,31,125.510719
3.870509,43,143.919612
1.78628,27,155.533158
2.675752,33,168.124151
3.936741,48,186.313864
3.195424,35,199.936602
4.457233,53,220.485315
3.113932,40,237.816143
2.234325,23,248.331318
1.095018,14,254.622924
2.352257,31,269.327781
4.404064,58,294.284223
3.175181,40,310.956383
1.410098,18,317.928011
3.217403,47,337.53131
2.52412,30,351.477872
3.779777,53,373.51734
3.658297,45,393.071003
2.965538,32,405.223946
2.433682,32,417.436573
2.915962,28,428.43142
1.601567,23,436.617445
3.828825,40,451.719899
1.178676,18,458.325805
3.140317,36,472.022483
2.545657,29,483.246836
2.809111,36,498.628033
1.232132,19,507.310895
3.131096,41,523.472167
1.748865,24,533.842058
3.08542,39,549.460259
1.739491,22,558.725813
1.744142,21,567.338749
2.020643,27,578.906603
2.315697,36,594.047798
2.304868,28,604.809845
0.68402,9,608.330509
4.68894,47,627.917563
3.366407,37,643.840144
0.536708,8,647.235888
0.719085,12,652.310482
3.966993,39,670.354615
4.017898,47,690.132981
4.058538,39,705.844397
1.810757,17,712.52795
2.779396,39,728.330105
1.895544,22,737.330301
1.698806,23,746.327186
2.177058,32,758.331367
1.862099,23,766.726964
4.000581,48,786.64422
2.309219,31,799.32849
4.399524,47,818.149688
3.172753,48,837.924282
1.301004,15,844.534379
4.173734,50,865.583857
2.44126,28,877.623919
3.566621,41,894.718427
4.131123,54,915.757382
2.105819,21,925.231567
3.965145,55,947.528376
2.627531,34,960.835936
3.86552,51,981.65194
2.455175,32,995.911192
2.933446,31,1009.335684
0.294731,8,1012.320699
3.646232,48,1031.946617
2.404369,32,1044.831205
0.743932,9,1048.723244
3.582838,40,1066.440141
1.336705,17,1073.316046
3.164365,32,1086.754159
2.670458,35,1101.037268
3.894964,41,1117.210821
1.027216,16,1124.621011
2.830966,34,1138.111995
4.226254,41,1153.046918
3.679173,46,1170.653369
2.715983,39,1185.931609
4.155737,60,1209.136099
2.512585,36,1224.021232
3.106493,40,1240.627268
3.622649,45,1260.730658
3.331606,37,1275.827334
0.89232,14,1281.427346
2.864275,45,1300.408129
1.499065,19,1308.222379
3.589946,57,1331.707843
2.998427,29,1343.515352
3.975921,48,1363.315574
2.716749,31,1375.227303
2.27081,33,1388.819184
3.966993,39,1403.310029
3.20449,34,1419.013608
4.332821,44,1437.004755
3.686467,34,1451.155653
3.519904,49,1470.131631
4.01298,47,1488.514075
2.265319,29,1500.835998
3.563087,56,1522.837232
2.874514,35,1536.93436
4.110346,50,1557.711353
2.99514,39,1573.96017
3.870509,43,1591.778343
3.067534,47,1612.915794
1.390456,16,1619.713173
3.056794,41,1636.625137
2.258388,26,1647.415419
2.012479,26,1657.609183
2.930679,38,1673.120157
4.658508,51,1693.617886
4.11909,56,1718.036815
1.224534,16,1724.429328
3.978889,53,1747.274815
3.291021,42,1765.848316
3.67151,40,1782.635898
3.950482,56,1805.875324
3.861495,51,1826.707778
2.504702,33,1841.028551
3.087735,37,1856.123901
0.602112,7,1859.311534
2.04634,27,1870.626812
3.385148,35,1884.328124
2.202409,30,1896.032292
3.46328,35,1909.836753
1.109736,17,1916.224776
3.728774,42,1931.236481
3.027431,31,1943.713936
3.611951,45,1960.954154
3.860972,54,1981.724211
2.941684,38,1996.646484
3.971132,53,2017.23784
4.868743,60,2042.125825
2.696207,35,2056.519268
4.152998,48,2075.718104
3.747662,48,2094.741764
2.51759,40,2111.543062
1.957973,24,2120.724284
2.68449,40,2137.857842
2.375907,23,2147.337653
2.273374,25,2157.016895
0.837377,12,2161.136196
4.177973,59,2185.84701
4.894409,47,2203.495843
5.134591,61,2227.013409
1.330935,15,2233.305392
3.369078,30,2244.551755
1.777709,25,2254.236587
3.02068,38,2269.231755
3.100361,41,2285.473624
3.563087,56,2306.940597
4.899573,61,2330.946981
1.413207,18,2337.330521
2.801115,37,2350.55381
3.546811,40,2365.309328
1.363148,22,2373.031412
4.289704,51,2393.33542
1.942786,25,2403.432181
1.015058,15,2409.631504
4.457233,53,2430.718022
2.058406,27,2441.135493
3.164805,35,2454.513356
3.013683,42,2471.147196
3.193754,40,2487.413726
4.348406,57,2509.936413
1.190174,19,2517.430293
4.063807,45,2536.438948
4.014561,57,2560.32754
3.552019,47,2580.125872
1.675132,24,2589.431135
2.663301,32,2602.641107
3.868254,43,2619.624949
3.863468,48,2637.520153
3.923486,40,2652.405173
1.601567,23,2661.233273
3.435824,34,2674.83317
1.580882,22,2682.605184
2.259034,27,2693.930689
4.482783,44,2709.638386
4.08296,52,2730.013326
4.092505,56,2752.030141
3.7107,51,2773.06971
3.226179,43,2789.819787
2.092976,26,2799.806819
3.622649,45,2817.319748
2.517822,29,2829.231846
0.515219,9,2832.621879
2.864275,45,2849.664639
1.499065,19,2857.028651
2.350758,34,2870.833291
3.751039,39,2886.730054
1.747964,18,2893.531742
4.081883,47,2911.51658
4.177973,59,2934.117068
2.502122,25,2943.049326
2.103653,22,2951.13229
5.122436,51,2971.181944
4.621738,45,2987.694319
1.810146,26,2998.422129
3.249082,40,3013.925317
4.52159,62,3039.219432
1.835504,27,3049.42914
1.903327,24,3058.809615
3.588395,43,3074.741657
2.059557,27,3085.162862
4.399524,47,3103.812187
3.49441,53,3124.013468
1.820729,23,3132.931611
2.746743,35,3146.340071
3.285665,37,3160.742651
1.776183,22,3169.52383
3.964362,52,3188.881617
1.839673,20,3196.608093
3.790392,52,3217.124723
4.660857,56,3241.420381
4.760453,62,3266.388704
3.175181,40,3282.944787
0.50214,7,3285.835503
3.55526,52,3305.848115
4.168164,55,3327.615837
3.990939,54,3349.411521
4.659665,62,3373.415385
3.619768,41,3389.019201
4.118995,49,3408.310034
2.429307,24,3417.411194
1.48229,22,3426.439027
3.435824,34,3439.5506
5.293798,62,3464.338737
3.258704,38,3479.126162
3.20875,32,3491.907282
2.474083,31,3503.233335
0.6391,11,3507.922804
1.113667,16,3513.630327
2.236125,30,3524.418138
2.175238,28,3535.517285
0.352679,7,3538.03107
3.503897,40,3553.032179
4.480555,55,3575.410277
3.802845,57,3598.317173
2.887217,35,3612.620855
2.733646,41,3628.726172
3.016484,30,3639.914227
3.741035,44,3657.638904
4.23753,49,3676.81927
4.589445,66,3704.663352
0.866204,8,3707.730783
3.457594,38,3723.428627
4.332821,44,3741.508864
3.987395,38,3756.737543
1.685744,24,3766.422872
4.111287,48,3784.401741
2.333427,30,3797.945938
2.384789,36,3811.642359
3.377232,41,3827.214265
3.588395,43,3844.326242
1.971808,25,3854.325271
2.284922,28,3865.830479
3.769992,58,3889.127361
3.112214,38,3904.525235
5.271851,64,3929.818189
2.165194,25,3940.031019
4.161441,49,3959.922863
4.525065,57,3982.028528
3.033981,34,3995.338907
4.420554,60,4019.932222
4.739305,57,4041.809343
4.217952,55,4063.348166
2.88939,37,4077.920463
3.805448,42,4094.508683
2.070085,33,4107.534088
2.729568,33,4119.730199
3.078308,39,4135.360154
4.416133,58,4158.129826
3.32538,36,4172.234982
0.846829,10,4176.82707
4.026935,42,4193.533908
1.381605,20,4201.630422
3.46328,35,4216.023365
1.580882,22,4224.619225
3.951216,45,4244.009581
4.558996,45,4260.89514
5.135627,64,4287.669701
3.767306,53,4309.404953
0.821691,12,4314.110711
2.909503,39,4330.040229
4.271023,52,4351.74553
1.842533,24,4360.636137
1.95512,24,4370.529651
3.953338,51,4390.807842
4.184769,60,4415.022368
1.427671,18,4422.631749
2.316698,33,4436.332379
4.081237,42,4453.934043
2.273374,25,4464.033641
3.623656,41,4481.431586
4.177973,59,4506.433586
2.303527,22,4515.613926
4.105897,49,4535.316666
4.5512,47,4553.877664
4.621738,45,4570.926288
1.810146,26,4582.116302
2.641144,33,4594.538309
4.851704,67,4620.335996
2.965938,46,4639.229759
3.177566,39,4655.226541
4.067238,49,4676.250363
4.034675,53,4697.647143
2.802064,34,4711.338385
1.78628,27,4721.810541
3.620949,43,4738.716471
1.942786,25,4748.731324
5.219819,56,4771.666749
3.035119,34,4784.814286
5.07665,63,4813.228148
3.5156,40,4830.120506
4.544511,62,4855.128284
2.465285,32,4868.337401
1.543782,18,4876.339108
3.966589,49,4897.326092
0.50214,7,4900.613856
4.330731,61,4926.107914
3.474456,46,4945.114254
4.640079,62,4970.855127
3.356811,41,4988.924645
1.815931,18,4996.033556
1.826304,25,5006.405408
4.026935,42,5023.314128
0.443643,7,5026.021875
0.657924,7,5028.924956
2.700671,35,5044.307789
3.728774,42,5061.520308
4.558996,45,5080.131153
3.872527,49,5101.029743
4.210632,58,5125.222773
4.492218,65,5151.814456
3.971132,53,5174.524445
2.755173,36,5189.216504
1.294283,17,5195.740039
3.019318,33,5209.62948
1.552257,22,5218.129522
3.802845,57,5241.830845
1.427671,18,5248.729243
4.157497,65,5276.426934
1.767062,16,5283.70904
4.116736,49,5304.616742
2.534675,29,5316.733546
3.6485,52,5338.651134
2.303527,22,5347.919539
0.936349,10,5352.008289
2.375961,21,5360.516829
4.878847,47,5380.647092
2.477572,36,5395.028687
1.825909,21,5403.743926
4.144502,57,5427.208938
